song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,rank_group
There! I've Said It Again,Bobby Vinton,11/30/1963,50,,50,1,Top 50
There! I've Said It Again,Bobby Vinton,12/7/1963,22,50.0,22,2,Top 50
There! I've Said It Again,Bobby Vinton,12/14/1963,9,22.0,9,3,Top 10
There! I've Said It Again,Bobby Vinton,12/21/1963,4,9.0,4,4,Top 10
There! I've Said It Again,Bobby Vinton,12/28/1963,2,4.0,2,5,Top 10
There! I've Said It Again,Bobby Vinton,1/4/1964,1,2.0,1,6,Top 10
There! I've Said It Again,Bobby Vinton,1/11/1964,1,1.0,1,7,Top 10
There! I've Said It Again,Bobby Vinton,1/18/1964,1,1.0,1,8,Top 10
There! I've Said It Again,Bobby Vinton,1/25/1964,1,1.0,1,9,Top 10
There! I've Said It Again,Bobby Vinton,2/1/1964,7,1.0,1,10,Top 10
There! I've Said It Again,Bobby Vinton,2/8/1964,10,7.0,1,11,Top 10
There! I've Said It Again,Bobby Vinton,2/15/1964,18,10.0,1,12,Top 50
There! I've Said It Again,Bobby Vinton,2/22/1964,40,18.0,1,13,Top 50
This Diamond Ring,Gary Lewis And The Playboys,1/16/1965,65,,65,1,Top 100
This Diamond Ring,Gary Lewis And The Playboys,1/23/1965,34,65.0,34,2,Top 50
This Diamond Ring,Gary Lewis And The Playboys,1/30/1965,7,34.0,7,3,Top 10
This Diamond Ring,Gary Lewis And The Playboys,2/6/1965,4,7.0,4,4,Top 10
This Diamond Ring,Gary Lewis And The Playboys,2/13/1965,3,4.0,3,5,Top 10
This Diamond Ring,Gary Lewis And The Playboys,2/20/1965,1,3.0,1,6,Top 10
This Diamond Ring,Gary Lewis And The Playboys,2/27/1965,1,1.0,1,7,Top 10
This Diamond Ring,Gary Lewis And The Playboys,3/6/1965,2,1.0,1,8,Top 10
This Diamond Ring,Gary Lewis And The Playboys,3/13/1965,4,2.0,1,9,Top 10
This Diamond Ring,Gary Lewis And The Playboys,3/20/1965,8,4.0,1,10,Top 10
This Diamond Ring,Gary Lewis And The Playboys,3/27/1965,10,8.0,1,11,Top 10
This Diamond Ring,Gary Lewis And The Playboys,4/3/1965,23,10.0,1,12,Top 50
This Guy's In Love With You,Herb Alpert,5/18/1968,72,,72,1,Top 100
This Guy's In Love With You,Herb Alpert,5/25/1968,27,72.0,27,2,Top 50
This Guy's In Love With You,Herb Alpert,6/1/1968,11,27.0,11,3,Top 50
This Guy's In Love With You,Herb Alpert,6/8/1968,3,11.0,3,4,Top 10
This Guy's In Love With You,Herb Alpert,6/15/1968,2,3.0,2,5,Top 10
This Guy's In Love With You,Herb Alpert,6/22/1968,1,2.0,1,6,Top 10
This Guy's In Love With You,Herb Alpert,6/29/1968,1,1.0,1,7,Top 10
This Guy's In Love With You,Herb Alpert,7/6/1968,1,1.0,1,8,Top 10
This Guy's In Love With You,Herb Alpert,7/13/1968,1,1.0,1,9,Top 10
This Guy's In Love With You,Herb Alpert,7/20/1968,4,1.0,1,10,Top 10
This Guy's In Love With You,Herb Alpert,7/27/1968,7,4.0,1,11,Top 10
This Guy's In Love With You,Herb Alpert,8/3/1968,15,7.0,1,12,Top 50
This Guy's In Love With You,Herb Alpert,8/10/1968,16,15.0,1,13,Top 50
This Guy's In Love With You,Herb Alpert,8/17/1968,41,16.0,1,14,Top 50
Trollz,6ix9ine & Nicki Minaj,6/27/2020,1,,1,1,Top 10
Trollz,6ix9ine & Nicki Minaj,7/4/2020,34,1.0,1,2,Top 50
Trollz,6ix9ine & Nicki Minaj,7/11/2020,54,34.0,1,3,Top 100
Trollz,6ix9ine & Nicki Minaj,7/18/2020,83,54.0,1,4,Top 100
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,10/23/1965,80,,80,1,Top 100
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,10/30/1965,61,80.0,61,2,Top 100
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,11/6/1965,31,61.0,31,3,Top 50
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,11/13/1965,12,31.0,12,4,Top 50
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,11/20/1965,6,12.0,6,5,Top 10
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,11/27/1965,2,6.0,2,6,Top 10
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,12/4/1965,1,2.0,1,7,Top 10
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,12/11/1965,1,1.0,1,8,Top 10
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,12/18/1965,1,1.0,1,9,Top 10
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,12/25/1965,2,1.0,1,10,Top 10
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,1/1/1966,4,2.0,1,11,Top 10
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,1/8/1966,9,4.0,1,12,Top 10
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,1/15/1966,19,9.0,1,13,Top 50
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,1/22/1966,43,19.0,1,14,Top 50
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,8/14/1971,65,,65,1,Top 100
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,8/21/1971,21,65.0,21,2,Top 50
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,8/28/1971,12,21.0,12,3,Top 50
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,9/4/1971,1,12.0,1,4,Top 10
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,9/11/1971,5,1.0,1,5,Top 10
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,9/18/1971,5,5.0,1,6,Top 10
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,9/25/1971,6,5.0,1,7,Top 10
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,10/2/1971,6,6.0,1,8,Top 10
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,10/9/1971,7,6.0,1,9,Top 10
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,10/16/1971,7,7.0,1,10,Top 10
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,10/23/1971,13,7.0,1,11,Top 50
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,10/30/1971,18,13.0,1,12,Top 50
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,11/6/1971,26,18.0,1,13,Top 50
Dizzy,Tommy Roe,4/5/1969,1,1.0,1,10,Top 10
American Woman/No Sugar Tonight,The Guess Who,5/23/1970,1,1.0,1,10,Top 10
(You're) Having My Baby,Paul Anka with Odia Coates,9/7/1974,1,1.0,1,10,Top 10
Soldier Boy,The Shirelles,5/26/1962,2,1.0,1,10,Top 10
People Got To Be Free,The Rascals,9/21/1968,2,1.0,1,10,Top 10
(I Can't Get No) Satisfaction,The Rolling Stones,8/14/1965,2,2.0,1,10,Top 10
ABC,Jackson 5,5/16/1970,2,2.0,1,10,Top 10
Cracklin' Rosie,Neil Diamond,10/24/1970,2,2.0,1,10,Top 10
Song Sung Blue,Neil Diamond,7/8/1972,3,1.0,1,10,Top 10
Do Wah Diddy Diddy,Manfred Mann,11/7/1964,3,2.0,1,10,Top 10
A Horse With No Name,America,4/22/1972,4,2.0,1,10,Top 10
Dominique,The Singing Nun (Soeur Sourire),1/11/1964,4,3.0,1,10,Top 10
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,5/20/1967,4,3.0,1,10,Top 10
Dirty Diana,Michael Jackson,7/9/1988,5,1.0,1,10,Top 10
Sheila,Tommy Roe,9/29/1962,5,3.0,1,10,Top 10
Don't Break The Heart That Loves You,Connie Francis,4/14/1962,7,2.0,1,10,Top 10
Chapel Of Love,The Dixie Cups,7/4/1964,7,3.0,1,10,Top 10
Sunshine Superman,Donovan,10/1/1966,9,3.0,1,10,Top 10
Surf City,Jan & Dean,8/17/1963,11,7.0,1,10,Top 50
Ringo,Lorne Greene,1/2/1965,11,7.0,1,10,Top 50
A Big Hunk O' Love,Elvis Presley With The Jordanaires,9/5/1959,13,7.0,1,10,Top 50
Back In My Arms Again,The Supremes,7/3/1965,15,11.0,1,10,Top 50
Summer In The City,The Lovin' Spoonful,9/17/1966,17,5.0,1,10,Top 50
"Paint It, Black",The Rolling Stones,7/16/1966,17,9.0,1,10,Top 50
Black & White,Three Dog Night,10/14/1972,21,8.0,1,10,Top 50
"Can't Get Enough Of Your Love, Babe",Barry White,10/5/1974,22,12.0,1,10,Top 50
All You Need Is Love,The Beatles,9/23/1967,24,8.0,1,10,Top 50
Penny Lane,The Beatles,4/29/1967,25,21.0,1,10,Top 50
Paperback Writer,The Beatles,8/13/1966,37,18.0,1,10,Top 50
Can't Buy Me Love,The Beatles,5/30/1964,42,23.0,1,10,Top 50
Poor Little Fool,Ricky Nelson,10/4/1958,47,36.0,1,10,Top 50
Cardigan,Taylor Swift,10/10/2020,53,49.0,1,10,Top 100
American Woman/No Sugar Tonight,The Guess Who,5/30/1970,2,1.0,1,11,Top 10
(You're) Having My Baby,Paul Anka with Odia Coates,9/14/1974,2,1.0,1,11,Top 10
Dizzy,Tommy Roe,4/12/1969,3,1.0,1,11,Top 10
Soldier Boy,The Shirelles,6/2/1962,3,2.0,1,11,Top 10
People Got To Be Free,The Rascals,9/28/1968,3,2.0,1,11,Top 10
Cracklin' Rosie,Neil Diamond,10/31/1970,4,2.0,1,11,Top 10
Song Sung Blue,Neil Diamond,7/15/1972,4,3.0,1,11,Top 10
A Horse With No Name,America,4/29/1972,5,4.0,1,11,Top 10
(I Can't Get No) Satisfaction,The Rolling Stones,8/21/1965,6,2.0,1,11,Top 10
Dominique,The Singing Nun (Soeur Sourire),1/18/1964,6,4.0,1,11,Top 10
Do Wah Diddy Diddy,Manfred Mann,11/14/1964,7,3.0,1,11,Top 10
ABC,Jackson 5,5/23/1970,9,2.0,1,11,Top 10
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,5/27/1967,9,4.0,1,11,Top 10
Sheila,Tommy Roe,10/6/1962,11,5.0,1,11,Top 50
Sunshine Superman,Donovan,10/8/1966,12,9.0,1,11,Top 50
Don't Break The Heart That Loves You,Connie Francis,4/21/1962,13,7.0,1,11,Top 50
Chapel Of Love,The Dixie Cups,7/11/1964,14,7.0,1,11,Top 50
Dirty Diana,Michael Jackson,7/16/1988,15,5.0,1,11,Top 50
Surf City,Jan & Dean,8/24/1963,15,11.0,1,11,Top 50
Ringo,Lorne Greene,1/9/1965,20,11.0,1,11,Top 50
A Big Hunk O' Love,Elvis Presley With The Jordanaires,9/12/1959,20,13.0,1,11,Top 50
Black & White,Three Dog Night,10/21/1972,33,21.0,1,11,Top 50
Back In My Arms Again,The Supremes,7/10/1965,37,15.0,1,11,Top 50
Summer In The City,The Lovin' Spoonful,9/24/1966,37,17.0,1,11,Top 50
"Paint It, Black",The Rolling Stones,7/23/1966,39,17.0,1,11,Top 50
"Can't Get Enough Of Your Love, Babe",Barry White,10/12/1974,42,22.0,1,11,Top 50
All You Need Is Love,The Beatles,9/30/1967,48,24.0,1,11,Top 50
Hey Paula,Paul and Paula,12/29/1962,96,,96,1,Top 100
Eve Of Destruction,The Turtles,6/27/1970,100,,100,1,Top 100
Montero (Call Me By Your Name),Lil Nas X,4/17/2021,2,1.0,1,2,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),3/27/2021,2,4.0,2,2,Top 10
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,4/24/1965,2,12.0,2,2,Top 10
I Feel Fine,The Beatles,12/12/1964,5,22.0,5,2,Top 10
Harper Valley P.T.A.,Jeannie C. Riley,8/31/1968,7,81.0,7,2,Top 10
Hello Goodbye,The Beatles,12/9/1967,8,45.0,8,2,Top 10
I Hear A Symphony,The Supremes,11/6/1965,12,39.0,12,2,Top 50
"I'm Henry VIII, I Am",Herman's Hermits,7/10/1965,13,42.0,13,2,Top 50
Mr. Custer,Larry Verne,9/3/1960,13,65.0,13,2,Top 50
My Sweet Lord/Isn't It A Pity,George Harrison,12/5/1970,13,72.0,13,2,Top 50
Help!,The Beatles,8/14/1965,14,41.0,14,2,Top 50
Get Off Of My Cloud,The Rolling Stones,10/16/1965,14,64.0,14,2,Top 50
Heartache Tonight,Eagles,10/13/1979,15,52.0,15,2,Top 50
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,8/15/1987,16,37.0,16,2,Top 50
Eight Days A Week,The Beatles,2/27/1965,19,53.0,19,2,Top 50
"Hello, I Love You",The Doors,7/13/1968,22,77.0,22,2,Top 50
Mother-In-Law,Ernie K-Doe,4/1/1961,23,55.0,23,2,Top 50
Franchise,Travis Scott Featuring Young Thug & M.I.A.,10/17/2020,25,1.0,1,2,Top 50
Love Is Here And Now You're Gone,The Supremes,2/4/1967,27,47.0,27,2,Top 50
Eve Of Destruction,Barry McGuire,8/28/1965,27,58.0,27,2,Top 50
Honky Tonk Women,The Rolling Stones,7/26/1969,28,79.0,28,2,Top 50
My Boyfriend's Back,The Angels,8/10/1963,31,75.0,31,2,Top 50
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,5/22/1965,32,67.0,32,2,Top 50
I Want To Be Wanted,Brenda Lee,9/17/1960,33,67.0,33,2,Top 50
Green Tambourine,The Lemon Pipers,12/23/1967,33,68.0,33,2,Top 50
Give Me Love - (Give Me Peace On Earth),George Harrison,5/26/1973,34,59.0,34,2,Top 50
"Monday, Monday",The Mamas & The Papas,4/16/1966,34,79.0,34,2,Top 50
Listen To What The Man Said,Wings,6/7/1975,35,65.0,35,2,Top 50
In The Year 2525,Zager & Evans,6/28/1969,35,72.0,35,2,Top 50
Lucy In The Sky With Diamonds,Elton John,12/7/1974,36,48.0,36,2,Top 50
Island Girl,Elton John,10/18/1975,36,49.0,36,2,Top 50
Heart Of Gold,Neil Young,2/12/1972,39,62.0,39,2,Top 50
How Can You Mend A Broken Heart,Bee Gees,7/3/1971,39,73.0,39,2,Top 50
Game Of Love,Wayne Fontana & The Mindbenders,3/27/1965,40,63.0,40,2,Top 50
I'm Telling You Now,Freddie And The Dreamers,3/20/1965,42,71.0,42,2,Top 50
He Don't Love You (Like I Love You),Tony Orlando & Dawn,3/22/1975,44,55.0,44,2,Top 50
Everybody Loves Somebody,Dean Martin,7/4/1964,46,72.0,46,2,Top 50
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,5/17/1969,47,71.0,47,2,Top 50
Duke Of Earl,Gene Chandler,1/20/1962,49,93.0,49,2,Top 50
Easier Said Than Done,The Essex,6/15/1963,50,81.0,50,2,Top 50
Everything Is Beautiful,Ray Stevens,4/11/1970,52,74.0,52,2,Top 100
Hey Paula,Paul and Paula,1/5/1963,53,96.0,53,2,Top 100
Fingertips - Pt 2,Little Stevie Wonder,6/29/1963,58,85.0,58,2,Top 100
I Will Follow Him,Little Peggy March,3/30/1963,62,90.0,62,2,Top 100
"Help Me, Rhonda",The Beach Boys,4/24/1965,65,80.0,65,2,Top 100
I'm Leaving It Up To You,Dale & Grace,10/12/1963,65,89.0,65,2,Top 100
Kind Of A Drag,The Buckinghams,1/7/1967,66,90.0,66,2,Top 100
Mr. Tambourine Man,The Byrds,5/22/1965,72,87.0,72,2,Top 100
Love Me Do,The Beatles,4/18/1964,73,81.0,73,2,Top 100
If You Wanna Be Happy,Jimmy Soul,4/6/1963,78,84.0,78,2,Top 100
Get Down Tonight,KC And The Sunshine Band,7/19/1975,80,94.0,80,2,Top 100
Can't Buy Me Love,The Beatles,4/25/1964,1,1.0,1,5,Top 10
Dominique,The Singing Nun (Soeur Sourire),12/7/1963,1,2.0,1,5,Top 10
(I Can't Get No) Satisfaction,The Rolling Stones,7/10/1965,1,2.0,1,5,Top 10
Paperback Writer,The Beatles,7/9/1966,1,2.0,1,5,Top 10
All You Need Is Love,The Beatles,8/19/1967,1,2.0,1,5,Top 10
"Paint It, Black",The Rolling Stones,6/11/1966,1,3.0,1,5,Top 10
Summer In The City,The Lovin' Spoonful,8/13/1966,1,3.0,1,5,Top 10
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,4/15/1967,1,3.0,1,5,Top 10
People Got To Be Free,The Rascals,8/17/1968,1,5.0,1,5,Top 10
Chapel Of Love,The Dixie Cups,5/30/1964,2,4.0,2,5,Top 10
ABC,Jackson 5,4/11/1970,2,4.0,2,5,Top 10
A Big Hunk O' Love,Elvis Presley With The Jordanaires,8/1/1959,2,5.0,2,5,Top 10
Do Wah Diddy Diddy,Manfred Mann,10/3/1964,2,6.0,2,5,Top 10
Surf City,Jan & Dean,7/13/1963,2,7.0,2,5,Top 10
A Horse With No Name,America,3/18/1972,2,7.0,2,5,Top 10
Penny Lane,The Beatles,3/25/1967,3,1.0,1,5,Top 10
Back In My Arms Again,The Supremes,5/29/1965,3,6.0,3,5,Top 10
Don't Break The Heart That Loves You,Connie Francis,3/10/1962,4,13.0,4,5,Top 10
Poor Little Fool,Ricky Nelson,8/30/1958,5,6.0,1,5,Top 10
Ringo,Lorne Greene,11/28/1964,5,6.0,5,5,Top 10
Sunshine Superman,Donovan,8/27/1966,5,10.0,5,5,Top 10
Sheila,Tommy Roe,8/25/1962,5,12.0,5,5,Top 10
Soldier Boy,The Shirelles,4/21/1962,6,11.0,6,5,Top 10
Rapstar,Polo G,5/22/2021,7,6.0,1,5,Top 10
Black & White,Three Dog Night,9/9/1972,9,14.0,9,5,Top 10
American Woman/No Sugar Tonight,The Guess Who,4/18/1970,9,15.0,9,5,Top 10
"Can't Get Enough Of Your Love, Babe",Barry White,8/31/1974,9,15.0,9,5,Top 10
Dizzy,Tommy Roe,3/1/1969,10,25.0,10,5,Top 10
Dirty Diana,Michael Jackson,6/4/1988,12,17.0,12,5,Top 50
Song Sung Blue,Neil Diamond,6/3/1972,12,18.0,12,5,Top 50
Cracklin' Rosie,Neil Diamond,9/19/1970,12,22.0,12,5,Top 50
(You're) Having My Baby,Paul Anka with Odia Coates,8/3/1974,23,34.0,23,5,Top 50
Cardigan,Taylor Swift,9/5/2020,36,33.0,1,5,Top 50
Do I Make You Proud,Taylor Hicks,7/29/2006,39,27.0,1,5,Top 50
Do I Make You Proud,Taylor Hicks,8/5/2006,55,39.0,1,6,Top 100
A Big Hunk O' Love,Elvis Presley With The Jordanaires,8/15/1959,1,1.0,1,7,Top 10
Sheila,Tommy Roe,9/8/1962,1,1.0,1,7,Top 10
Surf City,Jan & Dean,7/27/1963,1,1.0,1,7,Top 10
Dominique,The Singing Nun (Soeur Sourire),12/21/1963,1,1.0,1,7,Top 10
Chapel Of Love,The Dixie Cups,6/13/1964,1,1.0,1,7,Top 10
(I Can't Get No) Satisfaction,The Rolling Stones,7/24/1965,1,1.0,1,7,Top 10
Summer In The City,The Lovin' Spoonful,8/27/1966,1,1.0,1,7,Top 10
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,4/29/1967,1,1.0,1,7,Top 10
People Got To Be Free,The Rascals,8/31/1968,1,1.0,1,7,Top 10
A Horse With No Name,America,4/1/1972,1,1.0,1,7,Top 10
Do Wah Diddy Diddy,Manfred Mann,10/17/1964,1,2.0,1,7,Top 10
ABC,Jackson 5,4/25/1970,1,2.0,1,7,Top 10
Back In My Arms Again,The Supremes,6/12/1965,1,3.0,1,7,Top 10
Soldier Boy,The Shirelles,5/5/1962,1,4.0,1,7,Top 10
Dizzy,Tommy Roe,3/15/1969,1,4.0,1,7,Top 10
Sunshine Superman,Donovan,9/10/1966,2,1.0,1,7,Top 10
Black & White,Three Dog Night,9/23/1972,2,1.0,1,7,Top 10
All You Need Is Love,The Beatles,9/2/1967,2,2.0,1,7,Top 10
Don't Break The Heart That Loves You,Connie Francis,3/24/1962,2,3.0,2,7,Top 10
Ringo,Lorne Greene,12/12/1964,3,1.0,1,7,Top 10
"Paint It, Black",The Rolling Stones,6/25/1966,3,1.0,1,7,Top 10
Song Sung Blue,Neil Diamond,6/17/1972,3,4.0,3,7,Top 10
(You're) Having My Baby,Paul Anka with Odia Coates,8/17/1974,3,13.0,3,7,Top 10
American Woman/No Sugar Tonight,The Guess Who,5/2/1970,4,5.0,4,7,Top 10
Cracklin' Rosie,Neil Diamond,10/3/1970,4,6.0,4,7,Top 10
Dirty Diana,Michael Jackson,6/18/1988,4,8.0,4,7,Top 10
Can't Buy Me Love,The Beatles,5/9/1964,5,1.0,1,7,Top 10
"Can't Get Enough Of Your Love, Babe",Barry White,9/14/1974,5,6.0,5,7,Top 10
Penny Lane,The Beatles,4/8/1967,6,3.0,1,7,Top 10
Paperback Writer,The Beatles,7/23/1966,6,5.0,1,7,Top 10
Don't Break The Heart That Loves You,Connie Francis,3/3/1962,13,23.0,13,4,Top 50
Black & White,Three Dog Night,9/2/1972,14,23.0,14,4,Top 50
American Woman/No Sugar Tonight,The Guess Who,4/11/1970,15,17.0,15,4,Top 50
"Can't Get Enough Of Your Love, Babe",Barry White,8/24/1974,15,26.0,15,4,Top 50
Dirty Diana,Michael Jackson,5/28/1988,17,29.0,17,4,Top 50
Song Sung Blue,Neil Diamond,5/27/1972,18,27.0,18,4,Top 50
Cracklin' Rosie,Neil Diamond,9/12/1970,22,29.0,22,4,Top 50
Dizzy,Tommy Roe,2/22/1969,25,39.0,25,4,Top 50
Do I Make You Proud,Taylor Hicks,7/22/2006,27,14.0,1,4,Top 50
Cardigan,Taylor Swift,8/29/2020,33,24.0,1,4,Top 50
(You're) Having My Baby,Paul Anka with Odia Coates,7/27/1974,34,42.0,34,4,Top 50
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,5/8/1965,1,1.0,1,4,Top 10
I Feel Fine,The Beatles,12/26/1964,1,2.0,1,4,Top 10
Eight Days A Week,The Beatles,3/13/1965,1,5.0,1,4,Top 10
I Hear A Symphony,The Supremes,11/20/1965,1,5.0,1,4,Top 10
In The Year 2525,Zager & Evans,7/12/1969,1,8.0,1,4,Top 10
Island Girl,Elton John,11/1/1975,1,8.0,1,4,Top 10
"I'm Henry VIII, I Am",Herman's Hermits,7/24/1965,2,3.0,2,4,Top 10
Help!,The Beatles,8/28/1965,2,3.0,2,4,Top 10
Harper Valley P.T.A.,Jeannie C. Riley,9/14/1968,2,4.0,2,4,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,12/19/1970,2,6.0,2,4,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4/10/2021,3,3.0,2,4,Top 10
Hello Goodbye,The Beatles,12/23/1967,3,3.0,3,4,Top 10
Get Off Of My Cloud,The Rolling Stones,10/30/1965,3,4.0,3,4,Top 10
Honky Tonk Women,The Rolling Stones,8/9/1969,3,8.0,3,4,Top 10
Mother-In-Law,Ernie K-Doe,4/15/1961,3,9.0,3,4,Top 10
Eve Of Destruction,Barry McGuire,9/11/1965,3,9.0,3,4,Top 10
"Monday, Monday",The Mamas & The Papas,4/30/1966,3,10.0,3,4,Top 10
I'm Telling You Now,Freddie And The Dreamers,4/3/1965,3,20.0,3,4,Top 10
Montero (Call Me By Your Name),Lil Nas X,5/1/2021,4,2.0,1,4,Top 10
Mr. Custer,Larry Verne,9/17/1960,4,4.0,4,4,Top 10
My Boyfriend's Back,The Angels,8/24/1963,4,10.0,4,4,Top 10
Easier Said Than Done,The Essex,6/29/1963,5,15.0,5,4,Top 10
Love Is Here And Now You're Gone,The Supremes,2/18/1967,6,9.0,6,4,Top 10
Lucy In The Sky With Diamonds,Elton John,12/21/1974,6,9.0,6,4,Top 10
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,8/29/1987,6,10.0,6,4,Top 10
Heartache Tonight,Eagles,10/27/1979,7,9.0,7,4,Top 10
Game Of Love,Wayne Fontana & The Mindbenders,4/10/1965,7,17.0,7,4,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,6/5/1965,7,17.0,7,4,Top 10
Duke Of Earl,Gene Chandler,2/3/1962,7,20.0,7,4,Top 10
I Will Follow Him,Little Peggy March,4/13/1963,7,30.0,7,4,Top 10
"Hello, I Love You",The Doors,7/27/1968,9,9.0,9,4,Top 10
How Can You Mend A Broken Heart,Bee Gees,7/17/1971,9,16.0,9,4,Top 10
Listen To What The Man Said,Wings,6/21/1975,9,22.0,9,4,Top 10
Hey Paula,Paul and Paula,1/19/1963,10,30.0,10,4,Top 10
Fingertips - Pt 2,Little Stevie Wonder,7/13/1963,11,18.0,11,4,Top 50
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,5/31/1969,11,18.0,11,4,Top 50
Green Tambourine,The Lemon Pipers,1/6/1968,12,25.0,12,4,Top 50
Give Me Love - (Give Me Peace On Earth),George Harrison,6/9/1973,13,14.0,13,4,Top 50
Heart Of Gold,Neil Young,2/26/1972,13,27.0,13,4,Top 50
Everybody Loves Somebody,Dean Martin,7/18/1964,13,34.0,13,4,Top 50
I Want To Be Wanted,Brenda Lee,10/1/1960,14,23.0,14,4,Top 50
Kind Of A Drag,The Buckinghams,1/21/1967,15,42.0,15,4,Top 50
Mr. Tambourine Man,The Byrds,6/5/1965,17,55.0,17,4,Top 50
I'm Leaving It Up To You,Dale & Grace,10/26/1963,19,47.0,19,4,Top 50
"Help Me, Rhonda",The Beach Boys,5/8/1965,21,35.0,21,4,Top 50
Everything Is Beautiful,Ray Stevens,4/25/1970,21,37.0,21,4,Top 50
He Don't Love You (Like I Love You),Tony Orlando & Dawn,4/5/1975,27,33.0,27,4,Top 50
If You Wanna Be Happy,Jimmy Soul,4/20/1963,32,50.0,32,4,Top 50
Get Down Tonight,KC And The Sunshine Band,8/2/1975,32,51.0,32,4,Top 50
Love Me Do,The Beatles,5/2/1964,32,67.0,32,4,Top 50
What's Next,Drake,3/20/2021,1,,1,1,Top 10
What's Next,Drake,3/27/2021,4,1.0,1,2,Top 10
What's Next,Drake,4/3/2021,8,4.0,1,3,Top 10
What's Next,Drake,4/10/2021,13,8.0,1,4,Top 50
What's Next,Drake,4/17/2021,17,13.0,1,5,Top 50
What's Next,Drake,4/24/2021,25,17.0,1,6,Top 50
What's Next,Drake,5/1/2021,28,25.0,1,7,Top 50
What's Next,Drake,5/8/2021,30,28.0,1,8,Top 50
