song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,rank_group
What's Next,Drake,5/15/2021,45,30.0,1,9,Top 50
What's Next,Drake,5/22/2021,52,45.0,1,10,Top 100
What's Next,Drake,5/29/2021,66,52.0,1,11,Top 100
Dominique,The Singing Nun (Soeur Sourire),12/14/1963,1,1.0,1,6,Top 10
Can't Buy Me Love,The Beatles,5/2/1964,1,1.0,1,6,Top 10
(I Can't Get No) Satisfaction,The Rolling Stones,7/17/1965,1,1.0,1,6,Top 10
"Paint It, Black",The Rolling Stones,6/18/1966,1,1.0,1,6,Top 10
Summer In The City,The Lovin' Spoonful,8/20/1966,1,1.0,1,6,Top 10
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,4/22/1967,1,1.0,1,6,Top 10
People Got To Be Free,The Rascals,8/24/1968,1,1.0,1,6,Top 10
A Big Hunk O' Love,Elvis Presley With The Jordanaires,8/8/1959,1,2.0,1,6,Top 10
Surf City,Jan & Dean,7/20/1963,1,2.0,1,6,Top 10
Chapel Of Love,The Dixie Cups,6/6/1964,1,2.0,1,6,Top 10
A Horse With No Name,America,3/25/1972,1,2.0,1,6,Top 10
Sheila,Tommy Roe,9/1/1962,1,5.0,1,6,Top 10
Ringo,Lorne Greene,12/5/1964,1,5.0,1,6,Top 10
Sunshine Superman,Donovan,9/3/1966,1,5.0,1,6,Top 10
Black & White,Three Dog Night,9/16/1972,1,9.0,1,6,Top 10
All You Need Is Love,The Beatles,8/26/1967,2,1.0,1,6,Top 10
Do Wah Diddy Diddy,Manfred Mann,10/10/1964,2,2.0,2,6,Top 10
ABC,Jackson 5,4/18/1970,2,2.0,2,6,Top 10
Penny Lane,The Beatles,4/1/1967,3,3.0,1,6,Top 10
Back In My Arms Again,The Supremes,6/5/1965,3,3.0,3,6,Top 10
Don't Break The Heart That Loves You,Connie Francis,3/17/1962,3,4.0,3,6,Top 10
Soldier Boy,The Shirelles,4/28/1962,4,6.0,4,6,Top 10
Dizzy,Tommy Roe,3/8/1969,4,10.0,4,6,Top 10
Song Sung Blue,Neil Diamond,6/10/1972,4,12.0,4,6,Top 10
Paperback Writer,The Beatles,7/16/1966,5,1.0,1,6,Top 10
American Woman/No Sugar Tonight,The Guess Who,4/25/1970,5,9.0,5,6,Top 10
Poor Little Fool,Ricky Nelson,9/6/1958,6,5.0,1,6,Top 10
"Can't Get Enough Of Your Love, Babe",Barry White,9/7/1974,6,9.0,6,6,Top 10
Poor Little Fool,Ricky Nelson,9/13/1958,13,6.0,1,7,Top 50
Cardigan,Taylor Swift,9/19/2020,52,45.0,1,7,Top 100
Do I Make You Proud,Taylor Hicks,8/12/2006,78,55.0,1,7,Top 100
Soldier Boy,The Shirelles,5/12/1962,1,1.0,1,8,Top 10
Dominique,The Singing Nun (Soeur Sourire),12/28/1963,1,1.0,1,8,Top 10
Chapel Of Love,The Dixie Cups,6/20/1964,1,1.0,1,8,Top 10
Do Wah Diddy Diddy,Manfred Mann,10/24/1964,1,1.0,1,8,Top 10
(I Can't Get No) Satisfaction,The Rolling Stones,7/31/1965,1,1.0,1,8,Top 10
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,5/6/1967,1,1.0,1,8,Top 10
People Got To Be Free,The Rascals,9/7/1968,1,1.0,1,8,Top 10
Dizzy,Tommy Roe,3/22/1969,1,1.0,1,8,Top 10
ABC,Jackson 5,5/2/1970,1,1.0,1,8,Top 10
A Horse With No Name,America,4/8/1972,1,1.0,1,8,Top 10
Don't Break The Heart That Loves You,Connie Francis,3/31/1962,1,2.0,1,8,Top 10
(You're) Having My Baby,Paul Anka with Odia Coates,8/24/1974,1,3.0,1,8,Top 10
American Woman/No Sugar Tonight,The Guess Who,5/9/1970,1,4.0,1,8,Top 10
Cracklin' Rosie,Neil Diamond,10/10/1970,1,4.0,1,8,Top 10
"Can't Get Enough Of Your Love, Babe",Barry White,9/21/1974,1,5.0,1,8,Top 10
Sheila,Tommy Roe,9/15/1962,2,1.0,1,8,Top 10
Summer In The City,The Lovin' Spoonful,9/3/1966,2,1.0,1,8,Top 10
Black & White,Three Dog Night,9/30/1972,2,2.0,1,8,Top 10
Song Sung Blue,Neil Diamond,6/24/1972,2,3.0,2,8,Top 10
Dirty Diana,Michael Jackson,6/25/1988,2,4.0,2,8,Top 10
Surf City,Jan & Dean,8/3/1963,3,1.0,1,8,Top 10
Sunshine Superman,Donovan,9/17/1966,3,2.0,1,8,Top 10
A Big Hunk O' Love,Elvis Presley With The Jordanaires,8/22/1959,4,1.0,1,8,Top 10
"Paint It, Black",The Rolling Stones,7/2/1966,4,3.0,1,8,Top 10
Back In My Arms Again,The Supremes,6/19/1965,5,1.0,1,8,Top 10
Ringo,Lorne Greene,12/19/1964,5,3.0,1,8,Top 10
All You Need Is Love,The Beatles,9/9/1967,6,2.0,1,8,Top 10
Can't Buy Me Love,The Beatles,5/16/1964,11,5.0,1,8,Top 50
Paperback Writer,The Beatles,7/30/1966,12,6.0,1,8,Top 50
Penny Lane,The Beatles,4/15/1967,12,6.0,1,8,Top 50
Cardigan,Taylor Swift,9/12/2020,45,36.0,1,6,Top 50
Harper Valley P.T.A.,King Curtis & The Kingpins,10/19/1968,93,93.0,93,2,Top 100
Eve Of Destruction,The Turtles,7/4/1970,100,100.0,100,2,Top 100
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,5/1/1965,1,2.0,1,3,Top 10
Montero (Call Me By Your Name),Lil Nas X,4/24/2021,2,2.0,1,3,Top 10
I Feel Fine,The Beatles,12/19/1964,2,5.0,2,3,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4/3/2021,3,2.0,2,3,Top 10
Hello Goodbye,The Beatles,12/16/1967,3,8.0,3,3,Top 10
"I'm Henry VIII, I Am",Herman's Hermits,7/17/1965,3,13.0,3,3,Top 10
Help!,The Beatles,8/21/1965,3,14.0,3,3,Top 10
Harper Valley P.T.A.,Jeannie C. Riley,9/7/1968,4,7.0,4,3,Top 10
Mr. Custer,Larry Verne,9/10/1960,4,13.0,4,3,Top 10
Get Off Of My Cloud,The Rolling Stones,10/23/1965,4,14.0,4,3,Top 10
I Hear A Symphony,The Supremes,11/13/1965,5,12.0,5,3,Top 10
Eight Days A Week,The Beatles,3/6/1965,5,19.0,5,3,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,12/12/1970,6,13.0,6,3,Top 10
Honky Tonk Women,The Rolling Stones,8/2/1969,8,28.0,8,3,Top 10
In The Year 2525,Zager & Evans,7/5/1969,8,35.0,8,3,Top 10
Island Girl,Elton John,10/25/1975,8,36.0,8,3,Top 10
Heartache Tonight,Eagles,10/20/1979,9,15.0,9,3,Top 10
"Hello, I Love You",The Doors,7/20/1968,9,22.0,9,3,Top 10
Mother-In-Law,Ernie K-Doe,4/8/1961,9,23.0,9,3,Top 10
Eve Of Destruction,Barry McGuire,9/4/1965,9,27.0,9,3,Top 10
Love Is Here And Now You're Gone,The Supremes,2/11/1967,9,27.0,9,3,Top 10
Lucy In The Sky With Diamonds,Elton John,12/14/1974,9,36.0,9,3,Top 10
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,8/22/1987,10,16.0,10,3,Top 10
My Boyfriend's Back,The Angels,8/17/1963,10,31.0,10,3,Top 10
"Monday, Monday",The Mamas & The Papas,4/23/1966,10,34.0,10,3,Top 10
Give Me Love - (Give Me Peace On Earth),George Harrison,6/2/1973,14,34.0,14,3,Top 50
Easier Said Than Done,The Essex,6/22/1963,15,50.0,15,3,Top 50
How Can You Mend A Broken Heart,Bee Gees,7/10/1971,16,39.0,16,3,Top 50
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,5/29/1965,17,32.0,17,3,Top 50
Game Of Love,Wayne Fontana & The Mindbenders,4/3/1965,17,40.0,17,3,Top 50
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,5/24/1969,18,47.0,18,3,Top 50
Fingertips - Pt 2,Little Stevie Wonder,7/6/1963,18,58.0,18,3,Top 50
I'm Telling You Now,Freddie And The Dreamers,3/27/1965,20,42.0,20,3,Top 50
Duke Of Earl,Gene Chandler,1/27/1962,20,49.0,20,3,Top 50
Listen To What The Man Said,Wings,6/14/1975,22,35.0,22,3,Top 50
Franchise,Travis Scott Featuring Young Thug & M.I.A.,10/24/2020,23,25.0,1,3,Top 50
I Want To Be Wanted,Brenda Lee,9/24/1960,23,33.0,23,3,Top 50
Green Tambourine,The Lemon Pipers,12/30/1967,25,33.0,25,3,Top 50
Heart Of Gold,Neil Young,2/19/1972,27,39.0,27,3,Top 50
Hey Paula,Paul and Paula,1/12/1963,30,53.0,30,3,Top 50
I Will Follow Him,Little Peggy March,4/6/1963,30,62.0,30,3,Top 50
He Don't Love You (Like I Love You),Tony Orlando & Dawn,3/29/1975,33,44.0,33,3,Top 50
Everybody Loves Somebody,Dean Martin,7/11/1964,34,46.0,34,3,Top 50
"Help Me, Rhonda",The Beach Boys,5/1/1965,35,65.0,35,3,Top 50
Everything Is Beautiful,Ray Stevens,4/18/1970,37,52.0,37,3,Top 50
Kind Of A Drag,The Buckinghams,1/14/1967,42,66.0,42,3,Top 50
I'm Leaving It Up To You,Dale & Grace,10/19/1963,47,65.0,47,3,Top 50
If You Wanna Be Happy,Jimmy Soul,4/13/1963,50,78.0,50,3,Top 50
Get Down Tonight,KC And The Sunshine Band,7/26/1975,51,80.0,51,3,Top 100
Mr. Tambourine Man,The Byrds,5/29/1965,55,72.0,55,3,Top 100
Love Me Do,The Beatles,4/25/1964,67,73.0,67,3,Top 100
Franchise,Travis Scott Featuring Young Thug & M.I.A.,11/7/2020,51,39.0,1,5,Top 100
Easier Said Than Done,The Essex,7/13/1963,1,1.0,1,6,Top 10
My Boyfriend's Back,The Angels,9/7/1963,1,1.0,1,6,Top 10
I Feel Fine,The Beatles,1/9/1965,1,1.0,1,6,Top 10
I'm Telling You Now,Freddie And The Dreamers,4/17/1965,1,1.0,1,6,Top 10
Help!,The Beatles,9/11/1965,1,1.0,1,6,Top 10
Get Off Of My Cloud,The Rolling Stones,11/13/1965,1,1.0,1,6,Top 10
"Monday, Monday",The Mamas & The Papas,5/14/1966,1,1.0,1,6,Top 10
Hello Goodbye,The Beatles,1/6/1968,1,1.0,1,6,Top 10
"Hello, I Love You",The Doors,8/10/1968,1,1.0,1,6,Top 10
In The Year 2525,Zager & Evans,7/26/1969,1,1.0,1,6,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,1/2/1971,1,1.0,1,6,Top 10
Island Girl,Elton John,11/15/1975,1,1.0,1,6,Top 10
Duke Of Earl,Gene Chandler,2/17/1962,1,2.0,1,6,Top 10
"I'm Henry VIII, I Am",Herman's Hermits,8/7/1965,1,2.0,1,6,Top 10
Eve Of Destruction,Barry McGuire,9/25/1965,1,2.0,1,6,Top 10
Honky Tonk Women,The Rolling Stones,8/23/1969,1,2.0,1,6,Top 10
Lucy In The Sky With Diamonds,Elton John,1/4/1975,1,2.0,1,6,Top 10
Heartache Tonight,Eagles,11/10/1979,1,2.0,1,6,Top 10
I Will Follow Him,Little Peggy March,4/27/1963,1,3.0,1,6,Top 10
Game Of Love,Wayne Fontana & The Mindbenders,4/24/1965,1,3.0,1,6,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,6/19/1965,1,4.0,1,6,Top 10
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,5/22/1965,2,1.0,1,6,Top 10
I Hear A Symphony,The Supremes,12/4/1965,2,1.0,1,6,Top 10
Harper Valley P.T.A.,Jeannie C. Riley,9/28/1968,2,1.0,1,6,Top 10
Hey Paula,Paul and Paula,2/2/1963,2,2.0,2,6,Top 10
Love Is Here And Now You're Gone,The Supremes,3/4/1967,2,2.0,2,6,Top 10
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,9/12/1987,2,2.0,2,6,Top 10
Mother-In-Law,Ernie K-Doe,4/29/1961,2,3.0,2,6,Top 10
Mr. Tambourine Man,The Byrds,6/19/1965,2,6.0,2,6,Top 10
Heart Of Gold,Neil Young,3/11/1972,2,7.0,2,6,Top 10
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,6/14/1969,2,8.0,2,6,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4/24/2021,3,1.0,1,6,Top 10
Mr. Custer,Larry Verne,10/1/1960,3,4.0,3,6,Top 10
Fingertips - Pt 2,Little Stevie Wonder,7/27/1963,3,6.0,3,6,Top 10
Listen To What The Man Said,Wings,7/5/1975,3,7.0,3,6,Top 10
Love Me Do,The Beatles,5/16/1964,3,12.0,3,6,Top 10
Eight Days A Week,The Beatles,3/27/1965,4,1.0,1,6,Top 10
"Help Me, Rhonda",The Beach Boys,5/22/1965,4,6.0,4,6,Top 10
I Want To Be Wanted,Brenda Lee,10/15/1960,4,9.0,4,6,Top 10
Everybody Loves Somebody,Dean Martin,8/1/1964,4,11.0,4,6,Top 10
Give Me Love - (Give Me Peace On Earth),George Harrison,6/23/1973,5,8.0,5,6,Top 10
Kind Of A Drag,The Buckinghams,2/4/1967,5,9.0,5,6,Top 10
Green Tambourine,The Lemon Pipers,1/20/1968,5,9.0,5,6,Top 10
He Don't Love You (Like I Love You),Tony Orlando & Dawn,4/19/1975,5,23.0,5,6,Top 10
How Can You Mend A Broken Heart,Bee Gees,7/31/1971,6,8.0,6,6,Top 10
I'm Leaving It Up To You,Dale & Grace,11/9/1963,6,11.0,6,6,Top 10
If You Wanna Be Happy,Jimmy Soul,5/4/1963,6,15.0,6,6,Top 10
Everything Is Beautiful,Ray Stevens,5/9/1970,7,16.0,7,6,Top 10
Montero (Call Me By Your Name),Lil Nas X,5/15/2021,9,7.0,1,6,Top 10
Get Down Tonight,KC And The Sunshine Band,8/16/1975,12,22.0,12,6,Top 50
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,7/12/1969,4,1.0,1,10,Top 10
I Want To Be Wanted,Brenda Lee,11/12/1960,4,2.0,1,10,Top 10
Love Me Do,The Beatles,6/13/1964,4,2.0,1,10,Top 10
Mr. Tambourine Man,The Byrds,7/17/1965,4,3.0,1,10,Top 10
Get Down Tonight,KC And The Sunshine Band,9/13/1975,4,3.0,1,10,Top 10
Mother-In-Law,Ernie K-Doe,5/27/1961,5,1.0,1,10,Top 10
In The Year 2525,Zager & Evans,8/23/1969,5,1.0,1,10,Top 10
Duke Of Earl,Gene Chandler,3/17/1962,5,2.0,1,10,Top 10
"Hello, I Love You",The Doors,9/7/1968,5,4.0,1,10,Top 10
My Boyfriend's Back,The Angels,10/5/1963,6,5.0,1,10,Top 10
Give Me Love - (Give Me Peace On Earth),George Harrison,7/21/1973,6,5.0,1,10,Top 10
"Help Me, Rhonda",The Beach Boys,6/19/1965,7,5.0,1,10,Top 10
Heartache Tonight,Eagles,12/8/1979,7,5.0,1,10,Top 10
"Monday, Monday",The Mamas & The Papas,6/11/1966,7,6.0,1,10,Top 10
Harper Valley P.T.A.,Jeannie C. Riley,10/26/1968,8,4.0,1,10,Top 10
Listen To What The Man Said,Wings,8/2/1975,8,5.0,1,10,Top 10
Easier Said Than Done,The Essex,8/10/1963,9,7.0,1,10,Top 10
Hello Goodbye,The Beatles,2/3/1968,12,6.0,1,10,Top 50
Game Of Love,Wayne Fontana & The Mindbenders,5/22/1965,14,11.0,1,10,Top 50
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,6/19/1965,14,11.0,1,10,Top 50
Eve Of Destruction,Barry McGuire,10/23/1965,15,10.0,1,10,Top 50
Help!,The Beatles,10/9/1965,15,11.0,1,10,Top 50
Get Off Of My Cloud,The Rolling Stones,12/11/1965,15,11.0,1,10,Top 50
Island Girl,Elton John,12/13/1975,16,6.0,1,10,Top 50
Poor Little Fool,Ricky Nelson,10/11/1958,71,47.0,1,11,Top 100
Cardigan,Taylor Swift,10/17/2020,77,53.0,1,11,Top 100
Soldier Boy,The Shirelles,6/9/1962,4,3.0,1,12,Top 10
Dizzy,Tommy Roe,4/19/1969,5,3.0,1,12,Top 10
A Horse With No Name,America,5/6/1972,6,5.0,1,12,Top 10
(You're) Having My Baby,Paul Anka with Odia Coates,9/21/1974,7,2.0,1,12,Top 10
People Got To Be Free,The Rascals,10/5/1968,7,3.0,1,12,Top 10
American Woman/No Sugar Tonight,The Guess Who,6/6/1970,8,2.0,1,12,Top 10
Cracklin' Rosie,Neil Diamond,11/7/1970,8,4.0,1,12,Top 10
Song Sung Blue,Neil Diamond,7/22/1972,15,4.0,1,12,Top 50
Dominique,The Singing Nun (Soeur Sourire),1/25/1964,15,6.0,1,12,Top 50
Do Wah Diddy Diddy,Manfred Mann,11/21/1964,15,7.0,1,12,Top 50
ABC,Jackson 5,5/30/1970,15,9.0,1,12,Top 50
(I Can't Get No) Satisfaction,The Rolling Stones,8/28/1965,16,6.0,1,12,Top 50
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,6/3/1967,16,9.0,1,12,Top 50
Sheila,Tommy Roe,10/13/1962,16,11.0,1,12,Top 50
Surf City,Jan & Dean,8/31/1963,25,15.0,1,12,Top 50
Chapel Of Love,The Dixie Cups,7/18/1964,27,14.0,1,12,Top 50
Sunshine Superman,Donovan,10/15/1966,29,12.0,1,12,Top 50
Dirty Diana,Michael Jackson,7/23/1988,30,15.0,1,12,Top 50
Don't Break The Heart That Loves You,Connie Francis,4/28/1962,32,13.0,1,12,Top 50
A Big Hunk O' Love,Elvis Presley With The Jordanaires,9/19/1959,42,20.0,1,12,Top 50
Ringo,Lorne Greene,1/16/1965,42,20.0,1,12,Top 50
Cardigan,Taylor Swift,10/24/2020,85,77.0,1,12,Top 100
"Can't Get Enough Of Your Love, Babe",Barry White,10/19/1974,100,42.0,1,12,Top 100
Dizzy,Tommy Roe,4/26/1969,9,5.0,1,13,Top 10
A Horse With No Name,America,5/13/1972,10,6.0,1,13,Top 10
People Got To Be Free,The Rascals,10/12/1968,12,7.0,1,13,Top 50
Soldier Boy,The Shirelles,6/16/1962,14,4.0,1,13,Top 50
(You're) Having My Baby,Paul Anka with Odia Coates,9/28/1974,14,7.0,1,13,Top 50
Cracklin' Rosie,Neil Diamond,11/14/1970,14,8.0,1,13,Top 50
American Woman/No Sugar Tonight,The Guess Who,6/13/1970,18,8.0,1,13,Top 50
Song Sung Blue,Neil Diamond,7/29/1972,21,15.0,1,13,Top 50
Dominique,The Singing Nun (Soeur Sourire),2/1/1964,30,15.0,1,13,Top 50
ABC,Jackson 5,6/6/1970,30,15.0,1,13,Top 50
Do Wah Diddy Diddy,Manfred Mann,11/28/1964,31,15.0,1,13,Top 50
(I Can't Get No) Satisfaction,The Rolling Stones,9/4/1965,31,16.0,1,13,Top 50
Chapel Of Love,The Dixie Cups,7/25/1964,32,27.0,1,13,Top 50
Sheila,Tommy Roe,10/20/1962,38,16.0,1,13,Top 50
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,6/10/1967,41,16.0,1,13,Top 50
Surf City,Jan & Dean,9/7/1963,44,25.0,1,13,Top 50
Sunshine Superman,Donovan,10/22/1966,50,29.0,1,13,Top 50
Dirty Diana,Michael Jackson,7/30/1988,51,30.0,1,13,Top 100
Don't Break The Heart That Loves You,Connie Francis,5/5/1962,63,32.0,1,13,Top 100
A Big Hunk O' Love,Elvis Presley With The Jordanaires,9/26/1959,63,42.0,1,13,Top 100
Cardigan,Taylor Swift,10/31/2020,88,85.0,1,13,Top 100
(You're) Having My Baby,Paul Anka with Odia Coates,10/5/1974,25,14.0,1,14,Top 50
People Got To Be Free,The Rascals,10/19/1968,27,12.0,1,14,Top 50
Soldier Boy,The Shirelles,6/23/1962,32,14.0,1,14,Top 50
Franchise,Travis Scott Featuring Young Thug & M.I.A.,10/31/2020,39,23.0,1,4,Top 50
Franchise,Travis Scott Featuring Young Thug & M.I.A.,11/21/2020,55,59.0,1,7,Top 100
Duke Of Earl,Gene Chandler,3/3/1962,1,1.0,1,8,Top 10
Hey Paula,Paul and Paula,2/16/1963,1,1.0,1,8,Top 10
I Will Follow Him,Little Peggy March,5/11/1963,1,1.0,1,8,Top 10
"Help Me, Rhonda",The Beach Boys,6/5/1965,1,1.0,1,8,Top 10
In The Year 2525,Zager & Evans,8/9/1969,1,1.0,1,8,Top 10
Honky Tonk Women,The Rolling Stones,9/6/1969,1,1.0,1,8,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,1/16/1971,1,1.0,1,8,Top 10
How Can You Mend A Broken Heart,Bee Gees,8/14/1971,1,1.0,1,8,Top 10
Fingertips - Pt 2,Little Stevie Wonder,8/10/1963,1,2.0,1,8,Top 10
Love Me Do,The Beatles,5/30/1964,1,2.0,1,8,Top 10
Everybody Loves Somebody,Dean Martin,8/15/1964,1,2.0,1,8,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,7/3/1965,1,2.0,1,8,Top 10
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,6/28/1969,1,2.0,1,8,Top 10
If You Wanna Be Happy,Jimmy Soul,5/18/1963,1,3.0,1,8,Top 10
Kind Of A Drag,The Buckinghams,2/18/1967,1,3.0,1,8,Top 10
Green Tambourine,The Lemon Pipers,2/3/1968,1,3.0,1,8,Top 10
He Don't Love You (Like I Love You),Tony Orlando & Dawn,5/3/1975,1,3.0,1,8,Top 10
Listen To What The Man Said,Wings,7/19/1975,1,3.0,1,8,Top 10
Get Down Tonight,KC And The Sunshine Band,8/30/1975,1,3.0,1,8,Top 10
I'm Leaving It Up To You,Dale & Grace,11/23/1963,1,4.0,1,8,Top 10
I Want To Be Wanted,Brenda Lee,10/29/1960,2,1.0,1,8,Top 10
My Boyfriend's Back,The Angels,9/21/1963,2,1.0,1,8,Top 10
Heart Of Gold,Neil Young,3/25/1972,2,1.0,1,8,Top 10
Harper Valley P.T.A.,Jeannie C. Riley,10/12/1968,2,2.0,1,8,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/8/2021,2,2.0,1,8,Top 10
Mother-In-Law,Ernie K-Doe,5/13/1961,2,2.0,2,8,Top 10
Mr. Tambourine Man,The Byrds,7/3/1965,3,1.0,1,8,Top 10
"Monday, Monday",The Mamas & The Papas,5/28/1966,3,1.0,1,8,Top 10
Hello Goodbye,The Beatles,1/20/1968,3,1.0,1,8,Top 10
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,9/26/1987,3,1.0,1,8,Top 10
"Hello, I Love You",The Doors,8/24/1968,3,2.0,1,8,Top 10
Island Girl,Elton John,11/29/1975,3,4.0,1,8,Top 10
Love Is Here And Now You're Gone,The Supremes,3/18/1967,4,1.0,1,8,Top 10
Give Me Love - (Give Me Peace On Earth),George Harrison,7/7/1973,4,1.0,1,8,Top 10
Easier Said Than Done,The Essex,7/27/1963,4,2.0,1,8,Top 10
I Feel Fine,The Beatles,1/23/1965,4,2.0,1,8,Top 10
Game Of Love,Wayne Fontana & The Mindbenders,5/8/1965,4,2.0,1,8,Top 10
Eve Of Destruction,Barry McGuire,10/9/1965,4,2.0,1,8,Top 10
I'm Telling You Now,Freddie And The Dreamers,5/1/1965,4,3.0,1,8,Top 10
Everything Is Beautiful,Ray Stevens,5/23/1970,4,7.0,4,8,Top 10
Help!,The Beatles,9/25/1965,5,1.0,1,8,Top 10
Lucy In The Sky With Diamonds,Elton John,1/18/1975,5,1.0,1,8,Top 10
I Hear A Symphony,The Supremes,12/18/1965,5,2.0,1,8,Top 10
Get Off Of My Cloud,The Rolling Stones,11/27/1965,5,3.0,1,8,Top 10
Heartache Tonight,Eagles,11/24/1979,5,5.0,1,8,Top 10
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,6/5/1965,6,4.0,1,8,Top 10
Mr. Custer,Larry Verne,10/15/1960,7,1.0,1,8,Top 10
"I'm Henry VIII, I Am",Herman's Hermits,8/21/1965,9,4.0,1,8,Top 10
Eight Days A Week,The Beatles,4/10/1965,11,7.0,1,8,Top 50
Montero (Call Me By Your Name),Lil Nas X,5/29/2021,18,10.0,1,8,Top 50
Franchise,Travis Scott Featuring Young Thug & M.I.A.,11/14/2020,59,51.0,1,6,Top 100
Duke Of Earl,Gene Chandler,2/24/1962,1,1.0,1,7,Top 10
I Will Follow Him,Little Peggy March,5/4/1963,1,1.0,1,7,Top 10
My Boyfriend's Back,The Angels,9/14/1963,1,1.0,1,7,Top 10
Help!,The Beatles,9/18/1965,1,1.0,1,7,Top 10
"Monday, Monday",The Mamas & The Papas,5/21/1966,1,1.0,1,7,Top 10
Hello Goodbye,The Beatles,1/13/1968,1,1.0,1,7,Top 10
In The Year 2525,Zager & Evans,8/2/1969,1,1.0,1,7,Top 10
Honky Tonk Women,The Rolling Stones,8/30/1969,1,1.0,1,7,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,1/9/1971,1,1.0,1,7,Top 10
Lucy In The Sky With Diamonds,Elton John,1/11/1975,1,1.0,1,7,Top 10
Hey Paula,Paul and Paula,2/9/1963,1,2.0,1,7,Top 10
Mr. Tambourine Man,The Byrds,6/26/1965,1,2.0,1,7,Top 10
Love Is Here And Now You're Gone,The Supremes,3/11/1967,1,2.0,1,7,Top 10
Heart Of Gold,Neil Young,3/18/1972,1,2.0,1,7,Top 10
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,9/19/1987,1,2.0,1,7,Top 10
Mr. Custer,Larry Verne,10/8/1960,1,3.0,1,7,Top 10
I Want To Be Wanted,Brenda Lee,10/22/1960,1,4.0,1,7,Top 10
"Help Me, Rhonda",The Beach Boys,5/29/1965,1,4.0,1,7,Top 10
Give Me Love - (Give Me Peace On Earth),George Harrison,6/30/1973,1,5.0,1,7,Top 10
How Can You Mend A Broken Heart,Bee Gees,8/7/1971,1,6.0,1,7,Top 10
Easier Said Than Done,The Essex,7/20/1963,2,1.0,1,7,Top 10
I Feel Fine,The Beatles,1/16/1965,2,1.0,1,7,Top 10
Game Of Love,Wayne Fontana & The Mindbenders,5/1/1965,2,1.0,1,7,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,6/26/1965,2,1.0,1,7,Top 10
Eve Of Destruction,Barry McGuire,10/2/1965,2,1.0,1,7,Top 10
"Hello, I Love You",The Doors,8/17/1968,2,1.0,1,7,Top 10
I Hear A Symphony,The Supremes,12/11/1965,2,2.0,1,7,Top 10
Harper Valley P.T.A.,Jeannie C. Riley,10/5/1968,2,2.0,1,7,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/1/2021,2,3.0,1,7,Top 10
Mother-In-Law,Ernie K-Doe,5/6/1961,2,2.0,2,7,Top 10
