song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,rank_group
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,6/21/1969,2,2.0,2,7,Top 10
Fingertips - Pt 2,Little Stevie Wonder,8/3/1963,2,3.0,2,7,Top 10
Love Me Do,The Beatles,5/23/1964,2,3.0,2,7,Top 10
Everybody Loves Somebody,Dean Martin,8/8/1964,2,4.0,2,7,Top 10
I'm Telling You Now,Freddie And The Dreamers,4/24/1965,3,1.0,1,7,Top 10
Get Off Of My Cloud,The Rolling Stones,11/20/1965,3,1.0,1,7,Top 10
Listen To What The Man Said,Wings,7/12/1975,3,3.0,3,7,Top 10
Kind Of A Drag,The Buckinghams,2/11/1967,3,5.0,3,7,Top 10
Green Tambourine,The Lemon Pipers,1/27/1968,3,5.0,3,7,Top 10
He Don't Love You (Like I Love You),Tony Orlando & Dawn,4/26/1975,3,5.0,3,7,Top 10
If You Wanna Be Happy,Jimmy Soul,5/11/1963,3,6.0,3,7,Top 10
Get Down Tonight,KC And The Sunshine Band,8/23/1975,3,12.0,3,7,Top 10
"I'm Henry VIII, I Am",Herman's Hermits,8/14/1965,4,1.0,1,7,Top 10
Island Girl,Elton John,11/22/1975,4,1.0,1,7,Top 10
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,5/29/1965,4,2.0,1,7,Top 10
I'm Leaving It Up To You,Dale & Grace,11/16/1963,4,6.0,4,7,Top 10
Heartache Tonight,Eagles,11/17/1979,5,1.0,1,7,Top 10
Eight Days A Week,The Beatles,4/3/1965,7,4.0,1,7,Top 10
Everything Is Beautiful,Ray Stevens,5/16/1970,7,7.0,7,7,Top 10
Montero (Call Me By Your Name),Lil Nas X,5/22/2021,10,9.0,1,7,Top 10
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,10/17/1987,39,23.0,1,11,Top 50
I Feel Fine,The Beatles,2/13/1965,40,22.0,1,11,Top 50
I'm Telling You Now,Freddie And The Dreamers,5/22/1965,42,38.0,1,11,Top 50
Everybody Loves Somebody,Dean Martin,9/12/1964,4,3.0,1,12,Top 10
How Can You Mend A Broken Heart,Bee Gees,9/11/1971,6,2.0,1,12,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,7/31/1965,6,3.0,1,12,Top 10
Honky Tonk Women,The Rolling Stones,10/4/1969,6,3.0,1,12,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,2/13/1971,6,3.0,1,12,Top 10
Hey Paula,Paul and Paula,3/16/1963,7,4.0,1,12,Top 10
I'm Leaving It Up To You,Dale & Grace,12/21/1963,8,4.0,1,12,Top 10
Heart Of Gold,Neil Young,4/22/1972,8,5.0,1,12,Top 10
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,7/26/1969,10,10.0,1,12,Top 10
Fingertips - Pt 2,Little Stevie Wonder,9/7/1963,11,3.0,1,12,Top 50
Love Me Do,The Beatles,6/27/1964,11,7.0,1,12,Top 50
Everything Is Beautiful,Ray Stevens,6/20/1970,12,3.0,1,12,Top 50
If You Wanna Be Happy,Jimmy Soul,6/15/1963,12,7.0,1,12,Top 50
Duke Of Earl,Gene Chandler,3/31/1962,13,5.0,1,12,Top 50
Hey Paula,Paul and Paula,2/23/1963,1,1.0,1,9,Top 10
If You Wanna Be Happy,Jimmy Soul,5/25/1963,1,1.0,1,9,Top 10
Fingertips - Pt 2,Little Stevie Wonder,8/17/1963,1,1.0,1,9,Top 10
I'm Leaving It Up To You,Dale & Grace,11/30/1963,1,1.0,1,9,Top 10
Kind Of A Drag,The Buckinghams,2/25/1967,1,1.0,1,9,Top 10
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,7/5/1969,1,1.0,1,9,Top 10
In The Year 2525,Zager & Evans,8/16/1969,1,1.0,1,9,Top 10
Honky Tonk Women,The Rolling Stones,9/13/1969,1,1.0,1,9,Top 10
How Can You Mend A Broken Heart,Bee Gees,8/21/1971,1,1.0,1,9,Top 10
He Don't Love You (Like I Love You),Tony Orlando & Dawn,5/10/1975,1,1.0,1,9,Top 10
Mother-In-Law,Ernie K-Doe,5/20/1961,1,2.0,1,9,Top 10
Everything Is Beautiful,Ray Stevens,5/30/1970,1,4.0,1,9,Top 10
Duke Of Earl,Gene Chandler,3/10/1962,2,1.0,1,9,Top 10
I Will Follow Him,Little Peggy March,5/18/1963,2,1.0,1,9,Top 10
Love Me Do,The Beatles,6/6/1964,2,1.0,1,9,Top 10
Everybody Loves Somebody,Dean Martin,8/22/1964,2,1.0,1,9,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,7/10/1965,2,1.0,1,9,Top 10
Green Tambourine,The Lemon Pipers,2/10/1968,2,1.0,1,9,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,1/23/1971,2,1.0,1,9,Top 10
I Want To Be Wanted,Brenda Lee,11/5/1960,2,2.0,1,9,Top 10
Heart Of Gold,Neil Young,4/1/1972,2,2.0,1,9,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/15/2021,2,2.0,1,9,Top 10
Get Down Tonight,KC And The Sunshine Band,9/6/1975,3,1.0,1,9,Top 10
Mr. Tambourine Man,The Byrds,7/10/1965,3,3.0,1,9,Top 10
Harper Valley P.T.A.,Jeannie C. Riley,10/19/1968,4,2.0,1,9,Top 10
"Hello, I Love You",The Doors,8/31/1968,4,3.0,1,9,Top 10
"Help Me, Rhonda",The Beach Boys,6/12/1965,5,1.0,1,9,Top 10
Listen To What The Man Said,Wings,7/26/1975,5,1.0,1,9,Top 10
My Boyfriend's Back,The Angels,9/28/1963,5,2.0,1,9,Top 10
Give Me Love - (Give Me Peace On Earth),George Harrison,7/14/1973,5,4.0,1,9,Top 10
Heartache Tonight,Eagles,12/1/1979,5,5.0,1,9,Top 10
"Monday, Monday",The Mamas & The Papas,6/4/1966,6,3.0,1,9,Top 10
Hello Goodbye,The Beatles,1/27/1968,6,3.0,1,9,Top 10
Island Girl,Elton John,12/6/1975,6,3.0,1,9,Top 10
Easier Said Than Done,The Essex,8/3/1963,7,4.0,1,9,Top 10
I'm Telling You Now,Freddie And The Dreamers,5/8/1965,8,4.0,1,9,Top 10
Love Is Here And Now You're Gone,The Supremes,3/25/1967,9,4.0,1,9,Top 10
Mr. Custer,Larry Verne,10/22/1960,9,7.0,1,9,Top 10
Eve Of Destruction,Barry McGuire,10/16/1965,10,4.0,1,9,Top 10
I Feel Fine,The Beatles,1/30/1965,11,4.0,1,9,Top 50
Game Of Love,Wayne Fontana & The Mindbenders,5/15/1965,11,4.0,1,9,Top 50
Help!,The Beatles,10/2/1965,11,5.0,1,9,Top 50
Get Off Of My Cloud,The Rolling Stones,12/4/1965,11,5.0,1,9,Top 50
Lucy In The Sky With Diamonds,Elton John,1/25/1975,11,5.0,1,9,Top 50
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,6/12/1965,11,6.0,1,9,Top 50
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,10/3/1987,12,3.0,1,9,Top 50
Eight Days A Week,The Beatles,4/17/1965,17,11.0,1,9,Top 50
I Hear A Symphony,The Supremes,12/25/1965,20,5.0,1,9,Top 50
"I'm Henry VIII, I Am",Herman's Hermits,8/28/1965,20,9.0,1,9,Top 50
Franchise,Travis Scott Featuring Young Thug & M.I.A.,12/5/2020,78,58.0,1,9,Top 100
Fingertips - Pt 2,Little Stevie Wonder,8/24/1963,1,1.0,1,10,Top 10
Everything Is Beautiful,Ray Stevens,6/6/1970,1,1.0,1,10,Top 10
How Can You Mend A Broken Heart,Bee Gees,8/28/1971,1,1.0,1,10,Top 10
He Don't Love You (Like I Love You),Tony Orlando & Dawn,5/17/1975,1,1.0,1,10,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/22/2021,1,2.0,1,10,Top 10
If You Wanna Be Happy,Jimmy Soul,6/1/1963,2,1.0,1,10,Top 10
I'm Leaving It Up To You,Dale & Grace,12/7/1963,2,1.0,1,10,Top 10
Honky Tonk Women,The Rolling Stones,9/20/1969,2,1.0,1,10,Top 10
I Will Follow Him,Little Peggy March,5/25/1963,2,2.0,1,10,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,7/17/1965,2,2.0,1,10,Top 10
Green Tambourine,The Lemon Pipers,2/17/1968,2,2.0,1,10,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,1/30/1971,2,2.0,1,10,Top 10
Heart Of Gold,Neil Young,4/8/1972,2,2.0,1,10,Top 10
Hey Paula,Paul and Paula,3/2/1963,3,1.0,1,10,Top 10
Kind Of A Drag,The Buckinghams,3/4/1967,3,1.0,1,10,Top 10
Everybody Loves Somebody,Dean Martin,8/29/1964,3,2.0,1,10,Top 10
Hey Paula,Paul and Paula,4/6/1963,50,29.0,1,15,Top 50
I Want To Be Wanted,Brenda Lee,12/17/1960,52,32.0,1,15,Top 100
Fingertips - Pt 2,Little Stevie Wonder,9/28/1963,61,33.0,1,15,Top 100
Duke Of Earl,Gene Chandler,4/21/1962,61,42.0,1,15,Top 100
Island Girl,Elton John,1/17/1976,62,41.0,1,15,Top 100
Get Down Tonight,KC And The Sunshine Band,10/18/1975,65,65.0,1,15,Top 100
Heartache Tonight,Eagles,1/12/1980,99,34.0,1,15,Top 100
Love Is Here And Now You're Gone,The Supremes,4/1/1967,20,9.0,1,10,Top 50
Lucy In The Sky With Diamonds,Elton John,2/1/1975,20,11.0,1,10,Top 50
Mr. Custer,Larry Verne,10/29/1960,21,9.0,1,10,Top 50
I Feel Fine,The Beatles,2/6/1965,22,11.0,1,10,Top 50
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,10/10/1987,23,12.0,1,10,Top 50
I Hear A Symphony,The Supremes,1/1/1966,30,20.0,1,10,Top 50
I'm Telling You Now,Freddie And The Dreamers,5/15/1965,38,8.0,1,10,Top 50
Eight Days A Week,The Beatles,4/24/1965,38,17.0,1,10,Top 50
"I'm Henry VIII, I Am",Herman's Hermits,9/4/1965,43,20.0,1,10,Top 50
How Can You Mend A Broken Heart,Bee Gees,9/4/1971,2,1.0,1,11,Top 10
Fingertips - Pt 2,Little Stevie Wonder,8/31/1963,3,1.0,1,11,Top 10
Everything Is Beautiful,Ray Stevens,6/13/1970,3,1.0,1,11,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,7/24/1965,3,2.0,1,11,Top 10
Honky Tonk Women,The Rolling Stones,9/27/1969,3,2.0,1,11,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,2/6/1971,3,2.0,1,11,Top 10
Everybody Loves Somebody,Dean Martin,9/5/1964,3,3.0,1,11,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/29/2021,4,1.0,1,11,Top 10
I'm Leaving It Up To You,Dale & Grace,12/14/1963,4,2.0,1,11,Top 10
Hey Paula,Paul and Paula,3/9/1963,4,3.0,1,11,Top 10
Kind Of A Drag,The Buckinghams,3/11/1967,4,3.0,1,11,Top 10
Heart Of Gold,Neil Young,4/15/1972,5,2.0,1,11,Top 10
Duke Of Earl,Gene Chandler,3/24/1962,5,5.0,1,11,Top 10
He Don't Love You (Like I Love You),Tony Orlando & Dawn,5/24/1975,7,1.0,1,11,Top 10
If You Wanna Be Happy,Jimmy Soul,6/8/1963,7,2.0,1,11,Top 10
Green Tambourine,The Lemon Pipers,2/24/1968,7,2.0,1,11,Top 10
Love Me Do,The Beatles,6/20/1964,7,4.0,1,11,Top 10
My Boyfriend's Back,The Angels,10/12/1963,7,6.0,1,11,Top 10
I Will Follow Him,Little Peggy March,6/1/1963,8,2.0,1,11,Top 10
In The Year 2525,Zager & Evans,8/30/1969,8,5.0,1,11,Top 10
Mr. Tambourine Man,The Byrds,7/24/1965,9,4.0,1,11,Top 10
"Hello, I Love You",The Doors,9/14/1968,9,5.0,1,11,Top 10
"Help Me, Rhonda",The Beach Boys,6/26/1965,9,7.0,1,11,Top 10
Heartache Tonight,Eagles,12/15/1979,9,7.0,1,11,Top 10
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,7/19/1969,10,4.0,1,11,Top 10
Give Me Love - (Give Me Peace On Earth),George Harrison,7/28/1973,10,6.0,1,11,Top 10
I Want To Be Wanted,Brenda Lee,11/19/1960,11,4.0,1,11,Top 50
Listen To What The Man Said,Wings,8/9/1975,12,8.0,1,11,Top 50
Easier Said Than Done,The Essex,8/17/1963,12,9.0,1,11,Top 50
Harper Valley P.T.A.,Jeannie C. Riley,11/2/1968,14,8.0,1,11,Top 50
Get Down Tonight,KC And The Sunshine Band,9/20/1975,15,4.0,1,11,Top 50
Island Girl,Elton John,12/20/1975,16,16.0,1,11,Top 50
Mother-In-Law,Ernie K-Doe,6/3/1961,19,5.0,1,11,Top 50
Help!,The Beatles,10/16/1965,22,15.0,1,11,Top 50
Get Off Of My Cloud,The Rolling Stones,12/18/1965,22,15.0,1,11,Top 50
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,6/26/1965,23,14.0,1,11,Top 50
"Monday, Monday",The Mamas & The Papas,6/18/1966,24,7.0,1,11,Top 50
Love Is Here And Now You're Gone,The Supremes,4/8/1967,29,20.0,1,11,Top 50
Hello Goodbye,The Beatles,2/10/1968,31,12.0,1,11,Top 50
Lucy In The Sky With Diamonds,Elton John,2/8/1975,32,20.0,1,11,Top 50
Game Of Love,Wayne Fontana & The Mindbenders,5/29/1965,33,14.0,1,11,Top 50
Eve Of Destruction,Barry McGuire,10/30/1965,34,15.0,1,11,Top 50
Mr. Custer,Larry Verne,11/5/1960,34,21.0,1,11,Top 50
I Feel Fine,The Beatles,1/2/1965,1,1.0,1,5,Top 10
Eight Days A Week,The Beatles,3/20/1965,1,1.0,1,5,Top 10
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,5/15/1965,1,1.0,1,5,Top 10
I Hear A Symphony,The Supremes,11/27/1965,1,1.0,1,5,Top 10
In The Year 2525,Zager & Evans,7/19/1969,1,1.0,1,5,Top 10
Island Girl,Elton John,11/8/1975,1,1.0,1,5,Top 10
Help!,The Beatles,9/4/1965,1,2.0,1,5,Top 10
Harper Valley P.T.A.,Jeannie C. Riley,9/21/1968,1,2.0,1,5,Top 10
My Sweet Lord/Isn't It A Pity,George Harrison,12/26/1970,1,2.0,1,5,Top 10
I'm Telling You Now,Freddie And The Dreamers,4/10/1965,1,3.0,1,5,Top 10
Get Off Of My Cloud,The Rolling Stones,11/6/1965,1,3.0,1,5,Top 10
"Monday, Monday",The Mamas & The Papas,5/7/1966,1,3.0,1,5,Top 10
Hello Goodbye,The Beatles,12/30/1967,1,3.0,1,5,Top 10
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4/17/2021,1,3.0,1,5,Top 10
My Boyfriend's Back,The Angels,8/31/1963,1,4.0,1,5,Top 10
Easier Said Than Done,The Essex,7/6/1963,1,5.0,1,5,Top 10
"Hello, I Love You",The Doors,8/3/1968,1,9.0,1,5,Top 10
"I'm Henry VIII, I Am",Herman's Hermits,7/31/1965,2,2.0,2,5,Top 10
Eve Of Destruction,Barry McGuire,9/18/1965,2,3.0,2,5,Top 10
Honky Tonk Women,The Rolling Stones,8/16/1969,2,3.0,2,5,Top 10
Love Is Here And Now You're Gone,The Supremes,2/25/1967,2,6.0,2,5,Top 10
Lucy In The Sky With Diamonds,Elton John,12/28/1974,2,6.0,2,5,Top 10
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,9/5/1987,2,6.0,2,5,Top 10
Duke Of Earl,Gene Chandler,2/10/1962,2,7.0,2,5,Top 10
Heartache Tonight,Eagles,11/3/1979,2,7.0,2,5,Top 10
Hey Paula,Paul and Paula,1/26/1963,2,10.0,2,5,Top 10
Mother-In-Law,Ernie K-Doe,4/22/1961,3,3.0,3,5,Top 10
I Will Follow Him,Little Peggy March,4/20/1963,3,7.0,3,5,Top 10
Game Of Love,Wayne Fontana & The Mindbenders,4/17/1965,3,7.0,3,5,Top 10
Mr. Custer,Larry Verne,9/24/1960,4,4.0,4,5,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,6/12/1965,4,7.0,4,5,Top 10
Fingertips - Pt 2,Little Stevie Wonder,7/20/1963,6,11.0,6,5,Top 10
Mr. Tambourine Man,The Byrds,6/12/1965,6,17.0,6,5,Top 10
"Help Me, Rhonda",The Beach Boys,5/15/1965,6,21.0,6,5,Top 10
Montero (Call Me By Your Name),Lil Nas X,5/8/2021,7,4.0,1,5,Top 10
Listen To What The Man Said,Wings,6/28/1975,7,9.0,7,5,Top 10
Heart Of Gold,Neil Young,3/4/1972,7,13.0,7,5,Top 10
How Can You Mend A Broken Heart,Bee Gees,7/24/1971,8,9.0,8,5,Top 10
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,6/7/1969,8,11.0,8,5,Top 10
Give Me Love - (Give Me Peace On Earth),George Harrison,6/16/1973,8,13.0,8,5,Top 10
Green Tambourine,The Lemon Pipers,1/13/1968,9,12.0,9,5,Top 10
I Want To Be Wanted,Brenda Lee,10/8/1960,9,14.0,9,5,Top 10
Kind Of A Drag,The Buckinghams,1/28/1967,9,15.0,9,5,Top 10
Everybody Loves Somebody,Dean Martin,7/25/1964,11,13.0,11,5,Top 50
I'm Leaving It Up To You,Dale & Grace,11/2/1963,11,19.0,11,5,Top 50
Love Me Do,The Beatles,5/9/1964,12,32.0,12,5,Top 50
If You Wanna Be Happy,Jimmy Soul,4/27/1963,15,32.0,15,5,Top 50
Everything Is Beautiful,Ray Stevens,5/2/1970,16,21.0,16,5,Top 50
Get Down Tonight,KC And The Sunshine Band,8/9/1975,22,32.0,22,5,Top 50
He Don't Love You (Like I Love You),Tony Orlando & Dawn,4/12/1975,23,27.0,23,5,Top 50
(I Can't Get No) Satisfaction,The Rolling Stones,9/11/1965,41,31.0,1,14,Top 50
Sheila,Tommy Roe,10/27/1962,59,38.0,1,14,Top 100
Dirty Diana,Michael Jackson,8/6/1988,77,51.0,1,14,Top 100
A Big Hunk O' Love,Elvis Presley With The Jordanaires,10/3/1959,96,63.0,1,14,Top 100
Cardigan,Taylor Swift,11/7/2020,96,88.0,1,14,Top 100
Dizzy,Tommy Roe,5/10/1969,22,11.0,1,15,Top 50
American Woman/No Sugar Tonight,The Guess Who,6/27/1970,28,19.0,1,15,Top 50
Cracklin' Rosie,Neil Diamond,11/28/1970,32,17.0,1,15,Top 50
(You're) Having My Baby,Paul Anka with Odia Coates,10/12/1974,47,25.0,1,15,Top 50
Dizzy,Tommy Roe,5/3/1969,11,9.0,1,14,Top 50
Cracklin' Rosie,Neil Diamond,11/21/1970,17,14.0,1,14,Top 50
American Woman/No Sugar Tonight,The Guess Who,6/20/1970,19,18.0,1,14,Top 50
A Horse With No Name,America,5/20/1972,20,10.0,1,14,Top 50
Franchise,Travis Scott Featuring Young Thug & M.I.A.,11/28/2020,58,55.0,1,8,Top 100
Fingertips - Pt 2,Little Stevie Wonder,9/14/1963,23,11.0,1,13,Top 50
Green Tambourine,The Lemon Pipers,3/9/1968,25,14.0,1,13,Top 50
My Boyfriend's Back,The Angels,10/26/1963,25,15.0,1,13,Top 50
I Want To Be Wanted,Brenda Lee,12/3/1960,25,17.0,1,13,Top 50
"Help Me, Rhonda",The Beach Boys,7/10/1965,25,18.0,1,13,Top 50
I Will Follow Him,Little Peggy March,6/15/1963,27,17.0,1,13,Top 50
Mother-In-Law,Ernie K-Doe,6/17/1961,28,22.0,1,13,Top 50
Help!,The Beatles,10/30/1965,32,29.0,1,13,Top 50
Island Girl,Elton John,1/3/1976,32,32.0,1,13,Top 50
Kind Of A Drag,The Buckinghams,3/25/1967,34,14.0,1,13,Top 50
Harper Valley P.T.A.,Jeannie C. Riley,11/16/1968,35,15.0,1,13,Top 50
Mr. Tambourine Man,The Byrds,8/7/1965,38,18.0,1,13,Top 50
In The Year 2525,Zager & Evans,9/13/1969,39,19.0,1,13,Top 50
Easier Said Than Done,The Essex,8/31/1963,41,27.0,1,13,Top 50
He Don't Love You (Like I Love You),Tony Orlando & Dawn,6/7/1975,43,16.0,1,13,Top 50
Listen To What The Man Said,Wings,8/23/1975,44,17.0,1,13,Top 50
Give Me Love - (Give Me Peace On Earth),George Harrison,8/11/1973,45,31.0,1,13,Top 50
Get Down Tonight,KC And The Sunshine Band,10/4/1975,49,28.0,1,13,Top 50
Lucy In The Sky With Diamonds,Elton John,2/22/1975,52,41.0,1,13,Top 100
Mr. Custer,Larry Verne,11/19/1960,57,48.0,1,13,Top 100
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,10/31/1987,77,62.0,1,13,Top 100
Honky Tonk Women,The Rolling Stones,10/18/1969,14,8.0,1,14,Top 50
Everybody Loves Somebody,Dean Martin,9/26/1964,15,6.0,1,14,Top 50
How Can You Mend A Broken Heart,Bee Gees,9/25/1971,17,9.0,1,14,Top 50
I'm Leaving It Up To You,Dale & Grace,1/4/1964,21,16.0,1,14,Top 50
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,8/9/1969,22,16.0,1,14,Top 50
Heart Of Gold,Neil Young,5/6/1972,22,17.0,1,14,Top 50
Everything Is Beautiful,Ray Stevens,7/4/1970,22,19.0,1,14,Top 50
Love Me Do,The Beatles,7/11/1964,24,19.0,1,14,Top 50
Hey Paula,Paul and Paula,3/30/1963,29,14.0,1,14,Top 50
I Want To Be Wanted,Brenda Lee,12/10/1960,32,25.0,1,14,Top 50
If You Wanna Be Happy,Jimmy Soul,6/29/1963,33,13.0,1,14,Top 50
Fingertips - Pt 2,Little Stevie Wonder,9/21/1963,33,23.0,1,14,Top 50
Heartache Tonight,Eagles,1/5/1980,34,20.0,1,14,Top 50
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,8/14/1965,35,9.0,1,14,Top 50
My Sweet Lord/Isn't It A Pity,George Harrison,2/27/1971,36,16.0,1,14,Top 50
Island Girl,Elton John,1/10/1976,41,32.0,1,14,Top 50
Duke Of Earl,Gene Chandler,4/14/1962,42,20.0,1,14,Top 50
"Help Me, Rhonda",The Beach Boys,7/17/1965,44,25.0,1,14,Top 50
Mother-In-Law,Ernie K-Doe,6/24/1961,46,28.0,1,14,Top 50
He Don't Love You (Like I Love You),Tony Orlando & Dawn,6/14/1975,54,43.0,1,14,Top 100
Listen To What The Man Said,Wings,8/30/1975,57,44.0,1,14,Top 100
Give Me Love - (Give Me Peace On Earth),George Harrison,8/18/1973,57,45.0,1,14,Top 100
I Will Follow Him,Little Peggy March,6/22/1963,58,27.0,1,14,Top 100
My Boyfriend's Back,The Angels,11/2/1963,60,25.0,1,14,Top 100
Get Down Tonight,KC And The Sunshine Band,10/11/1975,65,49.0,1,14,Top 100
Lucy In The Sky With Diamonds,Elton John,3/1/1975,71,52.0,1,14,Top 100
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,11/7/1987,99,77.0,1,14,Top 100
Everybody Loves Somebody,Dean Martin,10/3/1964,26,15.0,1,15,Top 50
Honky Tonk Women,The Rolling Stones,10/25/1969,27,14.0,1,15,Top 50
How Can You Mend A Broken Heart,Bee Gees,10/2/1971,28,17.0,1,15,Top 50
Everything Is Beautiful,Ray Stevens,7/11/1970,29,22.0,1,15,Top 50
I'm Leaving It Up To You,Dale & Grace,1/11/1964,39,21.0,1,15,Top 50
Kind Of A Drag,The Buckinghams,3/18/1967,14,4.0,1,12,Top 50
Green Tambourine,The Lemon Pipers,3/2/1968,14,7.0,1,12,Top 50
My Boyfriend's Back,The Angels,10/19/1963,15,7.0,1,12,Top 50
Harper Valley P.T.A.,Jeannie C. Riley,11/9/1968,15,14.0,1,12,Top 50
He Don't Love You (Like I Love You),Tony Orlando & Dawn,5/31/1975,16,7.0,1,12,Top 50
I Will Follow Him,Little Peggy March,6/8/1963,17,8.0,1,12,Top 50
I Want To Be Wanted,Brenda Lee,11/26/1960,17,11.0,1,12,Top 50
Listen To What The Man Said,Wings,8/16/1975,17,12.0,1,12,Top 50
"Help Me, Rhonda",The Beach Boys,7/3/1965,18,9.0,1,12,Top 50
Mr. Tambourine Man,The Byrds,7/31/1965,18,9.0,1,12,Top 50
In The Year 2525,Zager & Evans,9/6/1969,19,8.0,1,12,Top 50
Heartache Tonight,Eagles,12/22/1979,20,9.0,1,12,Top 50
Mother-In-Law,Ernie K-Doe,6/10/1961,22,19.0,1,12,Top 50
"Hello, I Love You",The Doors,9/21/1968,23,9.0,1,12,Top 50
Easier Said Than Done,The Essex,8/24/1963,27,12.0,1,12,Top 50
Get Down Tonight,KC And The Sunshine Band,9/27/1975,28,15.0,1,12,Top 50
Help!,The Beatles,10/23/1965,29,22.0,1,12,Top 50
Give Me Love - (Give Me Peace On Earth),George Harrison,8/4/1973,31,10.0,1,12,Top 50
Island Girl,Elton John,12/27/1975,32,16.0,1,12,Top 50
Get Off Of My Cloud,The Rolling Stones,12/25/1965,36,22.0,1,12,Top 50
"Monday, Monday",The Mamas & The Papas,6/25/1966,41,24.0,1,12,Top 50
Lucy In The Sky With Diamonds,Elton John,2/15/1975,41,32.0,1,12,Top 50
Mr. Custer,Larry Verne,11/12/1960,48,34.0,1,12,Top 50
I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,10/24/1987,62,39.0,1,12,Top 100
Everybody Loves Somebody,Dean Martin,9/19/1964,6,4.0,1,13,Top 10
Honky Tonk Women,The Rolling Stones,10/11/1969,8,6.0,1,13,Top 10
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,8/7/1965,9,6.0,1,13,Top 10
How Can You Mend A Broken Heart,Bee Gees,9/18/1971,9,6.0,1,13,Top 10
If You Wanna Be Happy,Jimmy Soul,6/22/1963,13,12.0,1,13,Top 50
Hey Paula,Paul and Paula,3/23/1963,14,7.0,1,13,Top 50
My Sweet Lord/Isn't It A Pity,George Harrison,2/20/1971,16,6.0,1,13,Top 50
I'm Leaving It Up To You,Dale & Grace,12/28/1963,16,8.0,1,13,Top 50
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,8/2/1969,16,10.0,1,13,Top 50
Heart Of Gold,Neil Young,4/29/1972,17,8.0,1,13,Top 50
Love Me Do,The Beatles,7/4/1964,19,11.0,1,13,Top 50
Everything Is Beautiful,Ray Stevens,6/27/1970,19,12.0,1,13,Top 50
Duke Of Earl,Gene Chandler,4/7/1962,20,13.0,1,13,Top 50
Heartache Tonight,Eagles,12/29/1979,20,20.0,1,13,Top 50
