song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,year
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-05-23,58,66.0,57,16,2020
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-05-30,50,58.0,50,17,2020
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-06-06,53,50.0,50,18,2020
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-06-13,39,53.0,39,19,2020
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-06-20,41,39.0,39,20,2020
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-06-27,47,41.0,39,21,2020
Jingle Bell Rock,Bobby Helms,2020-01-04,3,9.0,3,30,2020
Jingle Bell Rock,Bobby Helms,2020-12-05,31,,31,31,2020
Jingle Bell Rock,Bobby Helms,2020-12-12,9,31.0,9,32,2020
Jingle Bell Rock,Bobby Helms,2020-12-19,5,9.0,5,33,2020
Jingle Bell Rock,Bobby Helms,2020-12-26,4,5.0,4,34,2020
Jingle Bell Rock,Bobby Helms,2021-01-02,3,4.0,3,35,2021
Jingle Bell Rock,Bobby Helms,2021-01-09,15,3.0,3,36,2021
Anyone,Justin Bieber,2021-05-08,87,68.0,6,17,2021
Stuck With U,Ariana Grande & Justin Bieber,2020-09-12,91,89.0,1,17,2020
Blinding Lights,The Weeknd,2020-04-11,1,1.0,1,18,2020
Circles,Post Malone,2020-01-11,1,5.0,1,18,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-05-16,1,6.0,1,18,2020
Save Your Tears,The Weeknd & Ariana Grande,2021-05-08,1,6.0,1,18,2021
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-29,3,2.0,1,18,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-03-13,4,4.0,2,18,2021
Roses,SAINt JHN,2020-08-01,5,8.0,4,18,2020
Dance Monkey,Tones And I,2020-02-15,5,7.0,5,18,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-24,6,1.0,1,18,2020
Savage,Megan Thee Stallion,2020-07-25,6,4.0,1,18,2020
"10,000 Hours",Dan + Shay & Justin Bieber,2020-02-15,8,6.0,4,18,2020
Positions,Ariana Grande,2021-03-06,9,10.0,1,18,2021
Come & Go,Juice WRLD x Marshmello,2020-11-21,38,31.0,2,18,2020
Rain On Me,Lady Gaga & Ariana Grande,2020-10-03,41,37.0,1,18,2020
Popstar,DJ Khaled Featuring Drake,2020-11-28,83,64.0,3,18,2020
Stuck With U,Ariana Grande & Justin Bieber,2020-09-19,100,91.0,1,18,2020
Save Your Tears,The Weeknd & Ariana Grande,2021-05-15,1,1.0,1,19,2021
Blinding Lights,The Weeknd,2020-04-18,2,1.0,1,19,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-05-23,2,1.0,1,19,2020
Circles,Post Malone,2020-01-18,3,1.0,1,19,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-09-05,4,3.0,1,19,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-31,5,6.0,1,19,2020
Dance Monkey,Tones And I,2020-02-22,5,5.0,5,19,2020
Savage,Megan Thee Stallion,2020-08-01,6,6.0,1,19,2020
Roses,SAINt JHN,2020-08-08,8,5.0,4,19,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-03-20,9,4.0,2,19,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-02-22,9,8.0,4,19,2020
Positions,Ariana Grande,2021-03-13,11,9.0,1,19,2021
Come & Go,Juice WRLD x Marshmello,2020-11-28,47,38.0,2,19,2020
Rain On Me,Lady Gaga & Ariana Grande,2020-10-10,55,41.0,1,19,2020
Popstar,DJ Khaled Featuring Drake,2020-12-05,96,83.0,3,19,2020
Blinding Lights,The Weeknd,2020-04-25,1,2.0,1,20,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-05-30,2,2.0,1,20,2020
Circles,Post Malone,2020-01-25,3,3.0,1,20,2020
Save Your Tears,The Weeknd & Ariana Grande,2021-05-22,4,1.0,1,20,2021
Rockstar,DaBaby Featuring Roddy Ricch,2020-09-12,4,4.0,1,20,2020
Dance Monkey,Tones And I,2020-02-29,4,5.0,4,20,2020
Roses,SAINt JHN,2020-08-15,5,8.0,4,20,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-11-07,8,5.0,1,20,2020
Savage,Megan Thee Stallion,2020-08-08,9,6.0,1,20,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-03-27,9,9.0,2,20,2021
Dance Monkey,Tones And I,2020-06-13,49,48.0,4,35,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-12-26,50,42.0,1,35,2020
Blinding Lights,The Weeknd,2020-08-15,4,5.0,1,36,2020
Someone You Loved,Lewis Capaldi,2020-01-25,6,6.0,1,36,2020
Circles,Post Malone,2020-05-16,8,8.0,1,36,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-09-19,40,46.0,1,36,2020
Dance Monkey,Tones And I,2020-06-20,50,49.0,4,36,2020
Blinding Lights,The Weeknd,2020-08-22,3,4.0,1,37,2020
Someone You Loved,Lewis Capaldi,2020-02-01,8,6.0,1,37,2020
Circles,Post Malone,2020-05-23,10,8.0,1,37,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-09-26,48,40.0,1,37,2020
Blinding Lights,The Weeknd,2020-08-29,4,3.0,1,38,2020
Someone You Loved,Lewis Capaldi,2020-02-08,5,8.0,1,38,2020
Circles,Post Malone,2020-05-30,10,10.0,1,38,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-10-03,47,48.0,1,38,2020
Blinding Lights,The Weeknd,2020-09-05,5,4.0,1,39,2020
Someone You Loved,Lewis Capaldi,2020-02-15,6,5.0,1,39,2020
Circles,Post Malone,2020-06-06,11,10.0,1,39,2020
Blinding Lights,The Weeknd,2020-09-12,5,5.0,1,40,2020
Someone You Loved,Lewis Capaldi,2020-02-22,8,6.0,1,40,2020
Circles,Post Malone,2020-06-13,11,11.0,1,40,2020
Blinding Lights,The Weeknd,2020-09-19,5,5.0,1,41,2020
Someone You Loved,Lewis Capaldi,2020-02-29,8,8.0,1,41,2020
Circles,Post Malone,2020-06-20,11,11.0,1,41,2020
Blinding Lights,The Weeknd,2020-09-26,5,5.0,1,42,2020
Someone You Loved,Lewis Capaldi,2020-03-07,10,8.0,1,42,2020
Circles,Post Malone,2020-06-27,13,11.0,1,42,2020
Blinding Lights,The Weeknd,2020-10-03,7,5.0,1,43,2020
Circles,Post Malone,2020-07-04,10,13.0,1,43,2020
Someone You Loved,Lewis Capaldi,2020-03-14,11,10.0,1,43,2020
Blinding Lights,The Weeknd,2020-10-10,6,7.0,1,44,2020
Circles,Post Malone,2020-07-11,13,10.0,1,44,2020
Someone You Loved,Lewis Capaldi,2020-03-21,15,11.0,1,44,2020
Blinding Lights,The Weeknd,2020-10-17,6,6.0,1,45,2020
Someone You Loved,Lewis Capaldi,2020-03-28,9,15.0,1,45,2020
Circles,Post Malone,2020-07-18,13,13.0,1,45,2020
Blinding Lights,The Weeknd,2020-10-24,4,6.0,1,46,2020
Someone You Loved,Lewis Capaldi,2020-04-04,11,9.0,1,46,2020
Circles,Post Malone,2020-07-25,20,13.0,1,46,2020
Blinding Lights,The Weeknd,2020-10-31,4,4.0,1,47,2020
Someone You Loved,Lewis Capaldi,2020-04-11,10,11.0,1,47,2020
Circles,Post Malone,2020-08-01,18,20.0,1,47,2020
Blinding Lights,The Weeknd,2020-11-07,5,4.0,1,48,2020
Someone You Loved,Lewis Capaldi,2020-04-18,11,10.0,1,48,2020
Circles,Post Malone,2020-08-08,20,18.0,1,48,2020
Blinding Lights,The Weeknd,2020-11-14,4,5.0,1,49,2020
Someone You Loved,Lewis Capaldi,2020-04-25,11,11.0,1,49,2020
Circles,Post Malone,2020-08-15,16,20.0,1,49,2020
Blinding Lights,The Weeknd,2020-11-21,5,4.0,1,50,2020
Someone You Loved,Lewis Capaldi,2020-05-02,15,11.0,1,50,2020
Circles,Post Malone,2020-08-22,15,16.0,1,50,2020
Blinding Lights,The Weeknd,2020-11-28,7,5.0,1,51,2020
Circles,Post Malone,2020-08-29,16,15.0,1,51,2020
Someone You Loved,Lewis Capaldi,2020-05-09,17,15.0,1,51,2020
Blinding Lights,The Weeknd,2020-12-05,9,7.0,1,52,2020
Circles,Post Malone,2020-09-05,16,16.0,1,52,2020
Someone You Loved,Lewis Capaldi,2020-05-16,18,17.0,1,52,2020
Blinding Lights,The Weeknd,2020-12-12,11,9.0,1,53,2020
Circles,Post Malone,2020-09-12,15,16.0,1,53,2020
Someone You Loved,Lewis Capaldi,2020-05-23,18,18.0,1,53,2020
Blinding Lights,The Weeknd,2020-12-19,7,11.0,1,54,2020
Circles,Post Malone,2020-09-19,16,15.0,1,54,2020
Someone You Loved,Lewis Capaldi,2020-05-30,20,18.0,1,54,2020
Circles,Post Malone,2020-09-26,16,16.0,1,55,2020
Blinding Lights,The Weeknd,2020-12-26,18,7.0,1,55,2020
Circles,Post Malone,2020-10-03,17,16.0,1,56,2020
Circles,Post Malone,2020-10-10,17,17.0,1,57,2020
Circles,Post Malone,2020-10-17,22,17.0,1,58,2020
Circles,Post Malone,2020-10-24,19,22.0,1,59,2020
Circles,Post Malone,2020-10-31,19,19.0,1,60,2020
Circles,Post Malone,2020-11-07,18,19.0,1,61,2020
Bang!,AJR,2021-01-02,37,33.0,24,25,2021
Bang!,AJR,2021-01-09,11,37.0,11,26,2021
Bang!,AJR,2021-01-16,9,11.0,9,27,2021
Bang!,AJR,2021-01-23,8,9.0,8,28,2021
Bang!,AJR,2021-01-30,9,8.0,8,29,2021
Bang!,AJR,2021-02-06,10,9.0,8,30,2021
Bang!,AJR,2021-02-13,16,10.0,8,31,2021
Bang!,AJR,2021-02-20,23,16.0,8,32,2021
Bang!,AJR,2021-02-27,31,23.0,8,33,2021
Bang!,AJR,2021-03-06,31,31.0,8,34,2021
Bang!,AJR,2021-03-13,35,31.0,8,35,2021
Blinding Lights,The Weeknd,2021-01-09,3,,3,56,2021
Blinding Lights,The Weeknd,2021-01-16,3,3.0,3,57,2021
Blinding Lights,The Weeknd,2021-01-23,4,3.0,3,58,2021
Blinding Lights,The Weeknd,2021-01-30,4,4.0,3,59,2021
Blinding Lights,The Weeknd,2021-02-06,3,4.0,3,60,2021
Blinding Lights,The Weeknd,2021-02-13,3,3.0,3,61,2021
Blinding Lights,The Weeknd,2021-02-20,3,3.0,3,62,2021
Blinding Lights,The Weeknd,2021-02-27,4,3.0,3,63,2021
Blinding Lights,The Weeknd,2021-03-06,5,4.0,3,64,2021
Blinding Lights,The Weeknd,2021-03-13,3,5.0,3,65,2021
Blinding Lights,The Weeknd,2021-03-20,8,3.0,3,66,2021
Blinding Lights,The Weeknd,2021-03-27,6,8.0,3,67,2021
Blinding Lights,The Weeknd,2021-04-03,6,6.0,3,68,2021
Blinding Lights,The Weeknd,2021-04-10,8,6.0,3,69,2021
Blinding Lights,The Weeknd,2021-04-17,9,8.0,3,70,2021
Blinding Lights,The Weeknd,2021-04-24,11,9.0,3,71,2021
Blinding Lights,The Weeknd,2021-05-01,13,11.0,3,72,2021
Blinding Lights,The Weeknd,2021-05-08,11,13.0,3,73,2021
Blinding Lights,The Weeknd,2021-05-15,11,11.0,3,74,2021
Blinding Lights,The Weeknd,2021-05-22,12,11.0,3,75,2021
Blinding Lights,The Weeknd,2021-05-29,23,12.0,3,76,2021
Run Rudolph Run,Chuck Berry,2021-01-02,10,29.0,10,8,2021
Run Rudolph Run,Chuck Berry,2021-01-09,29,10.0,10,9,2021
A Holly Jolly Christmas,Burl Ives,2020-01-04,4,6.0,4,14,2020
A Holly Jolly Christmas,Burl Ives,2020-12-12,24,,24,15,2020
A Holly Jolly Christmas,Burl Ives,2020-12-19,14,24.0,14,16,2020
A Holly Jolly Christmas,Burl Ives,2020-12-26,6,14.0,6,17,2020
A Holly Jolly Christmas,Burl Ives,2021-01-02,4,6.0,4,18,2021
A Holly Jolly Christmas,Burl Ives,2021-01-09,17,4.0,4,19,2021
Rockin' Around The Christmas Tree,Brenda Lee,2020-01-04,2,2.0,2,32,2020
All I Want For Christmas Is You,Mariah Carey,2020-01-04,1,1.0,1,36,2020
Rockin' Around The Christmas Tree,Brenda Lee,2020-11-28,43,,43,33,2020
Rockin' Around The Christmas Tree,Brenda Lee,2020-12-05,21,43.0,21,34,2020
Rockin' Around The Christmas Tree,Brenda Lee,2020-12-12,4,21.0,4,35,2020
Rockin' Around The Christmas Tree,Brenda Lee,2020-12-19,3,4.0,3,36,2020
Rockin' Around The Christmas Tree,Brenda Lee,2020-12-26,3,3.0,3,37,2020
All I Want For Christmas Is You,Mariah Carey,2020-11-28,29,,29,37,2020
Rockin' Around The Christmas Tree,Brenda Lee,2021-01-02,2,3.0,2,38,2021
All I Want For Christmas Is You,Mariah Carey,2020-12-05,14,29.0,14,38,2020
All I Want For Christmas Is You,Mariah Carey,2020-12-12,2,14.0,2,39,2020
Rockin' Around The Christmas Tree,Brenda Lee,2021-01-09,12,2.0,2,39,2021
All I Want For Christmas Is You,Mariah Carey,2020-12-19,1,2.0,1,40,2020
All I Want For Christmas Is You,Mariah Carey,2020-12-26,2,1.0,1,41,2020
All I Want For Christmas Is You,Mariah Carey,2021-01-02,1,2.0,1,42,2021
All I Want For Christmas Is You,Mariah Carey,2021-01-09,9,1.0,1,43,2021
Don't Start Now,Dua Lipa,2020-01-04,52,42.0,30,8,2020
Gooba,6ix9ine,2020-07-11,55,50.0,3,8,2020
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-11-28,58,55.0,1,8,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-04-04,30,36.0,30,13,2020
Good Days,SZA,2021-04-03,34,27.0,9,13,2021
Godzilla,Eminem Featuring Juice WRLD,2020-04-25,56,53.0,3,13,2020
Mood,24kGoldn Featuring iann dior,2020-11-21,1,1.0,1,14,2020
Dynamite,BTS,2020-12-05,3,14.0,1,14,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-11-28,5,4.0,2,14,2020
Levitating,Dua Lipa Featuring DaBaby,2021-01-16,7,10.0,7,14,2021
Life Is Good,Future Featuring Drake,2020-04-25,8,5.0,2,14,2020
Drivers License,Olivia Rodrigo,2021-04-24,9,5.0,1,14,2021
Memories,Maroon 5,2020-01-04,9,7.0,4,14,2020
Don't Start Now,Dua Lipa,2020-02-15,9,9.0,9,14,2020
Lose You To Love Me,Selena Gomez,2020-02-01,10,5.0,1,14,2020
Heartless,The Weeknd,2020-03-07,13,14.0,1,14,2020
Holy,Justin Bieber Featuring Chance The Rapper,2021-01-02,21,13.0,3,14,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-04-11,22,30.0,22,14,2020
Good Days,SZA,2021-04-10,40,34.0,9,14,2021
Godzilla,Eminem Featuring Juice WRLD,2020-05-02,66,56.0,3,14,2020
Mood,24kGoldn Featuring iann dior,2020-11-28,1,1.0,1,15,2020
Memories,Maroon 5,2020-01-11,2,9.0,2,15,2020
Holy,Justin Bieber Featuring Chance The Rapper,2021-01-09,4,21.0,3,15,2021
Levitating,Dua Lipa Featuring DaBaby,2021-01-23,6,7.0,6,15,2021
Don't Start Now,Dua Lipa,2020-02-22,6,9.0,6,15,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-12-05,7,5.0,2,15,2020
Dynamite,BTS,2020-12-12,10,3.0,1,15,2020
Drivers License,Olivia Rodrigo,2021-05-01,10,9.0,1,15,2021
Life Is Good,Future Featuring Drake,2020-05-02,10,8.0,2,15,2020
Lose You To Love Me,Selena Gomez,2020-02-08,11,10.0,1,15,2020
Heartless,The Weeknd,2020-03-14,17,13.0,1,15,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-04-18,20,22.0,20,15,2020
Good Days,SZA,2021-04-17,35,40.0,9,15,2021
Holy,Justin Bieber Featuring Chance The Rapper,2021-02-13,9,8.0,3,20,2021
Levitating,Dua Lipa Featuring DaBaby,2021-02-27,9,8.0,5,20,2021
Life Is Good,Future Featuring Drake,2020-06-06,10,6.0,2,20,2020
Heartless,The Weeknd,2020-04-18,19,12.0,1,20,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-05-23,23,21.0,16,20,2020
Dynamite,BTS,2021-01-16,25,5.0,1,20,2021
Lose You To Love Me,Selena Gomez,2020-03-14,27,21.0,1,20,2020
Good Days,SZA,2021-05-22,54,49.0,9,20,2021
Godzilla,Eminem Featuring Juice WRLD,2020-06-13,80,88.0,3,20,2020
Mood,24kGoldn Featuring iann dior,2021-01-09,1,7.0,1,21,2021
Don't Start Now,Dua Lipa,2020-04-04,3,3.0,2,21,2020
Memories,Maroon 5,2020-02-22,4,4.0,2,21,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-01-16,8,7.0,2,21,2021
Levitating,Dua Lipa Featuring DaBaby,2021-03-06,10,9.0,5,21,2021
Life Is Good,Future Featuring Drake,2020-06-13,13,10.0,2,21,2020
Holy,Justin Bieber Featuring Chance The Rapper,2021-02-20,14,9.0,3,21,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-05-30,19,23.0,16,21,2020
Heartless,The Weeknd,2020-04-25,21,19.0,1,21,2020
Dynamite,BTS,2021-01-23,35,25.0,1,21,2021
Lose You To Love Me,Selena Gomez,2020-03-21,38,27.0,1,21,2020
Mood,24kGoldn Featuring iann dior,2021-01-16,1,1.0,1,22,2021
Don't Start Now,Dua Lipa,2020-04-11,3,3.0,2,22,2020
Memories,Maroon 5,2020-02-29,7,4.0,2,22,2020
Levitating,Dua Lipa Featuring DaBaby,2021-03-13,10,10.0,5,22,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-01-23,13,8.0,2,22,2021
Life Is Good,Future Featuring Drake,2020-06-20,15,13.0,2,22,2020
Holy,Justin Bieber Featuring Chance The Rapper,2021-02-27,17,14.0,3,22,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-06-06,19,19.0,16,22,2020
Heartless,The Weeknd,2020-05-02,28,21.0,1,22,2020
Lose You To Love Me,Selena Gomez,2020-03-28,31,38.0,1,22,2020
Dynamite,BTS,2021-01-30,45,35.0,1,22,2021
Mood,24kGoldn Featuring iann dior,2021-01-23,2,1.0,1,23,2021
Don't Start Now,Dua Lipa,2020-04-18,4,3.0,2,23,2020
Memories,Maroon 5,2020-03-07,9,7.0,2,23,2020
Levitating,Dua Lipa Featuring DaBaby,2021-03-20,13,10.0,5,23,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-01-30,17,13.0,2,23,2021
Life Is Good,Future Featuring Drake,2020-06-27,17,15.0,2,23,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-06-13,19,19.0,16,23,2020
Holy,Justin Bieber Featuring Chance The Rapper,2021-03-06,27,17.0,3,23,2021
Heartless,The Weeknd,2020-05-09,37,28.0,1,23,2020
Dynamite,BTS,2021-02-06,46,45.0,1,23,2021
Lose You To Love Me,Selena Gomez,2020-04-04,47,31.0,1,23,2020
Mood,24kGoldn Featuring iann dior,2021-01-30,3,2.0,1,24,2021
Don't Start Now,Dua Lipa,2020-04-25,4,4.0,2,24,2020
Levitating,Dua Lipa Featuring DaBaby,2021-03-27,7,13.0,5,24,2021
Memories,Maroon 5,2020-03-14,9,9.0,2,24,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-06-20,18,19.0,16,24,2020
Life Is Good,Future Featuring Drake,2020-07-04,21,17.0,2,24,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-02-06,22,17.0,2,24,2021
Holy,Justin Bieber Featuring Chance The Rapper,2021-03-13,29,27.0,3,24,2021
Dynamite,BTS,2021-02-13,46,46.0,1,24,2021
Godzilla,Eminem Featuring Juice WRLD,2020-05-16,82,66.0,3,16,2020
Mood,24kGoldn Featuring iann dior,2020-12-12,1,2.0,1,17,2020
Memories,Maroon 5,2020-01-25,4,4.0,2,17,2020
Don't Start Now,Dua Lipa,2020-03-07,5,5.0,5,17,2020
Levitating,Dua Lipa Featuring DaBaby,2021-02-06,5,6.0,5,17,2021
Holy,Justin Bieber Featuring Chance The Rapper,2021-01-23,7,4.0,3,17,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-12-19,8,6.0,2,17,2020
Dynamite,BTS,2020-12-26,9,24.0,1,17,2020
Lose You To Love Me,Selena Gomez,2020-02-22,13,11.0,1,17,2020
Life Is Good,Future Featuring Drake,2020-05-16,13,12.0,2,17,2020
Drivers License,Olivia Rodrigo,2021-05-15,14,10.0,1,17,2021
Heartless,The Weeknd,2020-03-28,16,21.0,1,17,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-05-02,16,17.0,16,17,2020
Good Days,SZA,2021-05-01,44,39.0,9,17,2021
Godzilla,Eminem Featuring Juice WRLD,2020-05-23,78,82.0,3,17,2020
Mood,24kGoldn Featuring iann dior,2020-12-19,2,1.0,1,18,2020
Don't Start Now,Dua Lipa,2020-03-14,3,5.0,3,18,2020
Heartless,The Weeknd,2020-04-04,4,16.0,1,18,2020
Memories,Maroon 5,2020-02-01,5,4.0,2,18,2020
Levitating,Dua Lipa Featuring DaBaby,2021-02-13,5,5.0,5,18,2021
Holy,Justin Bieber Featuring Chance The Rapper,2021-01-30,8,7.0,3,18,2021
Life Is Good,Future Featuring Drake,2020-05-23,13,13.0,2,18,2020
Drivers License,Olivia Rodrigo,2021-05-22,16,14.0,1,18,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-12-26,17,8.0,2,18,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-05-09,19,16.0,16,18,2020
Lose You To Love Me,Selena Gomez,2020-02-29,21,13.0,1,18,2020
Dynamite,BTS,2021-01-02,44,9.0,1,18,2021
Good Days,SZA,2021-05-08,44,44.0,9,18,2021
Don't Start Now,Dua Lipa,2020-02-01,15,14.0,14,12,2020
Dynamite,BTS,2020-11-21,17,16.0,1,12,2020
Heartless,The Weeknd,2020-02-22,17,17.0,1,12,2020
Good Days,SZA,2021-03-27,27,19.0,9,12,2021
Levitating,Dua Lipa Featuring DaBaby,2021-01-02,27,27.0,20,12,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-03-28,36,50.0,36,12,2020
Godzilla,Eminem Featuring Juice WRLD,2020-04-18,53,47.0,3,12,2020
Mood,24kGoldn Featuring iann dior,2020-11-14,1,3.0,1,13,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-11-21,4,3.0,2,13,2020
Drivers License,Olivia Rodrigo,2021-04-17,5,5.0,1,13,2021
Lose You To Love Me,Selena Gomez,2020-01-25,5,10.0,1,13,2020
Life Is Good,Future Featuring Drake,2020-04-18,5,5.0,2,13,2020
Don't Start Now,Dua Lipa,2020-02-08,9,15.0,9,13,2020
Levitating,Dua Lipa Featuring DaBaby,2021-01-09,10,27.0,10,13,2021
Holy,Justin Bieber Featuring Chance The Rapper,2020-12-26,13,9.0,3,13,2020
Heartless,The Weeknd,2020-02-29,14,17.0,1,13,2020
Dynamite,BTS,2020-11-28,14,17.0,1,13,2020
